Parameter,Estimate,Std. Err.,Variance
lambda,7.63679813,0.62698434,0.39310936
eta,1.00702456,0.11979881,0.01435175
alpha_2,-0.84298600,0.09531701,0.00908533
alpha_3,-1.27024437,0.09239506,0.00853685
alpha_4,-0.77484328,0.11895031,0.01414918
alpha_5,-1.19733064,0.09085760,0.00825510
alpha_6,-0.43531859,0.10976313,0.01204794
alpha_7,0.09123436,0.05299340,0.00280830
alpha_8,-0.79694157,0.12339785,0.01522703
alpha_9,-0.79137407,0.11852858,0.01404903
alpha_10,-0.23072642,0.08124410,0.00660060
alpha_11,-1.40966142,0.09328351,0.00870181
alpha_12,-0.21202384,0.08831484,0.00779951
alpha_13,0.09900867,0.05241732,0.00274758
alpha_14,-0.60512885,0.12247968,0.01500127
alpha_15,-0.95393278,0.09050314,0.00819082
alpha_16,-0.89207070,0.09604422,0.00922449
alpha_17,-0.74657661,0.10003679,0.01000736
alpha_18,0.23523262,0.04492598,0.00201834
alpha_19,-1.24557906,0.09241195,0.00853997
alpha_20,-0.81126588,0.10252668,0.01051172
alpha_21,-1.25738953,0.09358312,0.00875780
alpha_22,-1.08923193,0.09085677,0.00825495
alpha_23,-0.55069802,0.10182013,0.01036734
alpha_24,-0.79512827,0.11113667,0.01235136
alpha_25,-0.72268302,0.12274539,0.01506643
alpha_26,-0.57044020,0.11215739,0.01257928
alpha_27,0.05359427,0.05393357,0.00290883
alpha_28,-0.70404381,0.12481134,0.01557787
alpha_29,-0.64446794,0.15012124,0.02253639
alpha_30,0.10627183,0.04843595,0.00234604
alpha_31,-0.66913437,0.10665058,0.01137435
alpha_32,-0.63995481,0.12217304,0.01492625
alpha_33,-1.13226906,0.09326704,0.00869874
alpha_34,-0.11837302,0.08504696,0.00723299
alpha_35,-1.54444525,0.09736228,0.00947941
alpha_36,-0.10247104,0.07100353,0.00504150
alpha_37,-1.74590502,0.10171033,0.01034499
alpha_38,-1.50834025,0.09469453,0.00896705
alpha_39,-0.90358261,0.09294309,0.00863842
alpha_40,-0.74697809,0.10324037,0.01065857
alpha_41,-0.01104753,0.06341762,0.00402180
alpha_42,-0.03293113,0.06509011,0.00423672
alpha_43,-0.73025173,0.13056360,0.01704685
alpha_44,-0.79331387,0.10800051,0.01166411
alpha_45,0.17772517,0.04762977,0.00226860
alpha_46,-0.72492907,0.11576619,0.01340181
alpha_47,-0.33339428,0.10835140,0.01174003
alpha_48,-1.33392079,0.09263038,0.00858039
alpha_49,-1.15268970,0.09086406,0.00825628
alpha_50,-1.24542349,0.09214417,0.00849055
alpha_51,-1.44459101,0.09529899,0.00908190
alpha_52,-0.99098847,0.08935621,0.00798453
alpha_53,-0.90200123,0.09833429,0.00966963
alpha_54,-0.35482919,0.12004212,0.01441011
alpha_55,-1.08130498,0.09015625,0.00812815
alpha_56,-1.01181328,0.09682471,0.00937503
alpha_57,-1.22016804,0.09177101,0.00842192
alpha_58,-1.54021397,0.09583621,0.00918458
alpha_59,-0.88142934,0.09384047,0.00880603
alpha_60,-1.47440874,0.09558985,0.00913742
alpha_61,-0.88416822,0.09680356,0.00937093
alpha_62,-0.87983546,0.10210398,0.01042522
alpha_63,-0.88066702,0.09299479,0.00864803
alpha_64,-0.59366642,0.10791597,0.01164586
alpha_65,-0.72603888,0.11671052,0.01362134
alpha_66,0.22489738,0.04583225,0.00210060
alpha_67,-0.64633972,0.10987311,0.01207210
alpha_68,-1.32054881,0.09247173,0.00855102
alpha_69,-1.12183836,0.08845345,0.00782401
alpha_70,-0.29180438,0.13927545,0.01939765
alpha_71,-1.38179275,0.09282152,0.00861583
alpha_72,-1.05507667,0.09085525,0.00825468
alpha_73,-1.18427357,0.09087231,0.00825778
alpha_74,-0.14645560,0.07379030,0.00544501
alpha_75,-0.99094635,0.09409275,0.00885345
alpha_76,-0.67076948,0.10696288,0.01144106
alpha_77,-1.21605813,0.09162139,0.00839448
alpha_78,0.03263535,0.06057736,0.00366962
alpha_79,-0.13760184,0.06932083,0.00480538
alpha_80,-1.58066315,0.09774299,0.00955369
alpha_81,0.03005505,0.05570154,0.00310266
alpha_82,-0.95009830,0.09738295,0.00948344
alpha_83,0.62367917,0.03308722,0.00109476
alpha_84,-1.43068653,0.09437945,0.00890748
alpha_85,-1.03011396,0.09165227,0.00840014
alpha_86,-0.76373987,0.11245584,0.01264632
alpha_87,0.17996508,0.04254308,0.00180991
alpha_88,0.10778587,0.05079192,0.00257982
alpha_89,0.27524336,0.04360477,0.00190138
alpha_90,-1.05825319,0.09027489,0.00814956
alpha_91,-0.73380371,0.11191632,0.01252526
alpha_92,0.11207359,0.04881303,0.00238271
alpha_93,0.20307761,0.04615597,0.00213037
alpha_94,-0.97061892,0.09652396,0.00931688
alpha_95,0.19762633,0.05185836,0.00268929
alpha_96,-0.02794416,0.07552270,0.00570368
alpha_97,-0.98971395,0.09144960,0.00836303
alpha_98,0.18431193,0.05009763,0.00250977
alpha_99,-0.46774437,0.12655251,0.01601554
alpha_100,-0.13556443,0.07155255,0.00511977
"beta_1,2",0.35815123,0.01953787,0.00038173
"beta_1,3",0.36328147,0.01983672,0.00039350
"beta_2,1",0.38108838,0.02058493,0.00042374
"beta_2,2",0.65356601,0.02756487,0.00075982
"beta_2,3",0.75677481,0.02874004,0.00082599
"beta_3,1",0.43760359,0.02289003,0.00052395
"beta_3,2",0.78314013,0.02834026,0.00080317
"beta_3,3",0.86916814,0.02789856,0.00077833
