index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,1.430681966154249
1,1,3,1.4380405675604635
1,2,1,1.4638769771399471
1,2,2,1.9223838606736579
1,2,3,2.131390982481898
1,3,1,1.5489907502752178
1,3,2,2.1883331383820566
1,3,3,2.384926103493197
2,1,1,0.4304233584997444
2,1,2,0.6157989368171295
2,1,3,0.6189662507482533
2,2,1,0.6300868449310296
2,2,2,0.8274389176368605
2,2,3,0.9174004649559284
2,3,1,0.6667218010184981
2,3,2,0.9419096989386907
2,3,3,1.0265279032392507
3,1,1,0.28076300333945126
3,1,2,0.4016825656410581
3,1,3,0.4037485886722448
3,2,1,0.4110024966212888
3,2,2,0.5397342662940253
3,2,3,0.5984157335322414
3,3,1,0.4348992951923001
3,3,2,0.6144029842393932
3,3,3,0.6695990155594048
4,1,1,0.4607759881535288
4,1,2,0.6592238966881575
4,1,3,0.662614563522534
4,2,1,0.6745193606768599
4,2,2,0.8857883230123003
4,2,3,0.9820937860946173
4,3,1,0.7137377435987394
4,3,2,1.008331364247105
4,3,3,1.098916682010223
5,1,1,0.30199928172624896
5,1,2,0.4320649261572808
5,1,3,0.4342872184964674
5,2,1,0.44208979563185663
5,2,2,0.5805585451255781
5,2,3,0.6436785457873373
5,3,1,0.46779409398371924
5,3,2,0.6608750359691293
5,3,3,0.7202459702251272
6,1,1,0.6470584878728106
6,1,2,0.925734909646668
6,1,3,0.9304963551454319
6,2,1,0.9472140232599952
6,2,2,1.243894793998593
6,2,3,1.3791346261904813
6,3,1,1.002287612602053
6,3,2,1.4159795314834558
6,3,3,1.5431866782147021
7,1,1,1.095525722583499
7,1,2,1.5673488947583145
7,1,3,1.5754104318810618
7,2,1,1.6037148831545889
7,2,2,2.1060209680473654
7,2,3,2.334993646191435
7,3,1,1.6969592109704141
7,3,2,2.3973752426794186
7,3,3,2.612747892837633
8,1,1,0.4507053089552582
8,1,2,0.644815957572267
8,1,3,0.6481325182925335
8,2,1,0.6597771252543493
8,2,2,0.8664286118555229
8,2,3,0.9606292312639552
8,3,1,0.6981383546716292
8,3,2,0.9862933632315146
8,3,3,1.0748988563103612
9,1,1,0.453221609013332
9,1,2,0.6484159826867861
9,1,3,0.6517510598561985
9,2,1,0.6634606789769395
9,2,2,0.8712659064757763
9,2,3,0.9659924505169525
9,3,1,0.7020360801865027
9,3,2,0.9917998660347104
9,3,3,1.080900046003083
10,1,1,0.7939566469851882
10,1,2,1.135899456750004
10,1,3,1.1417418672489827
10,2,1,1.1622548563688455
10,2,2,1.5262894442388986
10,2,3,1.692232037865794
10,3,1,1.229831502299583
10,3,2,1.7374416410363918
10,3,3,1.8935279324369085
11,1,1,0.2442259591816822
11,1,2,0.3494096754679565
11,1,3,0.3512068369546249
11,2,1,0.35751675886598505
11,2,2,0.4694960422884094
11,2,3,0.5205410070878296
11,3,1,0.37830375174951864
11,3,2,0.5344477597304187
11,3,3,0.5824608652030578
12,1,1,0.8089454120779938
12,1,2,1.1573436126632033
12,1,3,1.1632963195100712
12,2,1,1.1841965645039625
12,2,2,1.5551036043447368
12,2,3,1.7241789566231394
12,3,1,1.2530489607863868
12,3,2,1.7702420523924023
12,3,3,1.9292750295658683
13,1,1,1.1040758718551948
13,1,2,1.5795814391292569
13,1,3,1.5877058933924582
13,2,1,1.6162312498245344
13,2,2,2.1224576370136243
13,2,3,2.353217357248002
13,3,1,1.7102033131057437
13,3,2,2.4160858176687845
13,3,3,2.633139367024464
14,1,1,0.5460040694826941
14,1,2,0.7811581756557219
14,1,3,0.7851760019692161
14,2,1,0.7992827867404358
14,2,2,1.0496294110356694
14,2,3,1.1637481500938338
14,3,1,0.8457552532413204
14,3,2,1.1948387989404385
14,3,3,1.3021793579227903
15,1,1,0.3852230429904039
15,1,2,0.5511316605534338
15,1,3,0.5539663633792892
15,2,1,0.5639191436974443
15,2,2,0.740546560604347
15,2,3,0.8210609200739835
15,3,1,0.5967069303850082
15,3,2,0.8429963506442765
15,3,3,0.9187284908948962
16,1,1,0.40980628768230937
16,1,2,0.5863024654037001
16,1,3,0.5893180665285148
16,2,1,0.5999059896253226
16,2,2,0.7878049934430575
16,2,3,0.8734574261304567
16,3,1,0.6347861490245221
16,3,2,0.8967926796525281
16,3,3,0.9773577128691822
17,1,1,0.4739864188086366
17,1,2,0.6781238215915516
17,1,3,0.6816116987195234
17,2,1,0.693857805970976
17,2,2,0.9111838416962281
17,2,3,1.0102503788676165
17,3,1,0.7342005784906537
17,3,2,1.0372401874219757
17,3,3,1.1304225829179761
18,1,1,1.2652030460367407
18,1,2,1.8101031814881887
18,1,3,1.8194133064019018
18,2,1,1.8521016105005172
18,2,2,2.432205916176181
18,2,3,2.696642363331339
18,3,1,1.959787815530942
18,3,2,2.7686857524241186
18,3,3,3.017415770712127
19,1,1,0.28777422133399394
19,1,2,0.41171338878662656
19,1,3,0.41383100457640715
19,2,1,0.4212660572252092
19,2,2,0.553212518610399
19,2,3,0.6133593803420246
19,3,1,0.4457596070140099
19,3,2,0.6297458649172717
19,3,3,0.686320252371871
20,1,1,0.44429528557560616
20,1,2,0.6356452527203718
20,1,3,0.6389146446335829
20,2,1,0.650393639605948
20,2,2,0.8541060863639391
20,2,3,0.9469669652350668
20,3,1,0.6882092877475005
20,3,2,0.9722660966520185
20,3,3,1.0596114242282275
21,1,1,0.28439546415565886
21,1,2,0.40687946182356827
21,1,3,0.4089722146860251
21,2,1,0.41631997238049806
21,2,2,0.5467172503416323
21,2,3,0.6061579277601252
21,3,1,0.4405259433973428
21,3,2,0.6223520186173747
21,3,3,0.6782621661798945
22,1,1,0.3364748307068044
22,1,2,0.48138847235702903
22,1,3,0.4838644565194239
22,2,1,0.49255775805875235
22,2,2,0.6468337840736621
22,2,3,0.7171594200006063
22,3,1,0.5211964004652598
22,3,2,0.7363190222671926
22,3,3,0.8024676069211121
23,1,1,0.5765472283953295
23,1,2,0.8248557223014128
23,1,3,0.8290983035470317
23,2,1,0.8439942138817695
23,2,2,1.1083450867833105
23,2,3,1.2288475635767366
23,3,1,0.8930663238811788
23,3,2,1.2616774057398277
23,3,3,1.3750225348966751
24,1,1,0.4515233143124065
24,1,2,0.6459862630849567
24,1,3,0.6493088431805946
24,2,1,0.6609745844638558
24,2,2,0.8680011321520494
24,2,3,0.962372720505803
24,3,1,0.6994054374035276
24,3,2,0.9880834314619363
24,3,3,1.0768497386394216
25,1,1,0.48544804032288197
25,1,2,0.6945217567948679
25,1,3,0.698093975427032
25,2,1,0.7106362098263717
25,2,2,0.9332174779123634
25,2,3,1.0346795756076996
25,3,1,0.7519545241993751
25,3,2,1.0623220336011916
25,3,3,1.1577577032556592
26,1,1,0.5652765491860225
26,1,2,0.8087309648103478
26,1,3,0.8128906096200882
26,2,1,0.8274953260705354
26,2,2,1.086678514972509
26,2,3,1.2048253395435737
26,3,1,0.8756081460366432
26,3,2,1.2370134049340278
26,3,3,1.3481427978463012
27,1,1,1.0550564472509658
27,1,2,1.5094502323567283
27,1,3,1.517213972213105
27,2,1,1.544472842713756
27,2,2,2.028223486294945
27,2,3,2.248737797680097
27,3,1,1.6342726778099792
27,3,2,2.308814986382929
27,3,3,2.5162316617076215
28,1,1,0.49458126188733786
28,1,2,0.7075884921800261
28,1,3,0.7112279185492376
28,2,1,0.7240061226016967
28,2,2,0.9507750356438299
28,2,3,1.05414604169119
28,3,1,0.7661017999229315
28,3,2,1.082308565010876
28,3,3,1.1795397617737169
29,1,1,0.5249417683347125
29,1,2,0.7510247212375947
29,1,3,0.7548875584722433
29,2,1,0.7684501690043173
29,2,2,1.0091395832401415
29,2,3,1.118856151356708
29,3,1,0.8131299435835858
29,3,2,1.1487474673677278
29,3,3,1.2519473261153342
30,1,1,1.112124144128064
30,1,2,1.5910959571287502
30,1,3,1.5992796354196162
30,2,1,1.6280129303105415
30,2,2,2.1379295057372953
30,2,3,2.370371372194955
30,3,1,1.7226700124121146
