Parameter,Estimate,Std. Err.,Variance
lambda,0.11099538,0.01421005,0.00020193
eta,0.50408026,0.02913343,0.00084876
alpha_2,-0.03545210,0.04898366,0.00239940
alpha_3,-0.09643541,0.05260070,0.00276683
alpha_4,0.37220718,0.03879913,0.00150537
alpha_5,0.08255822,0.04504657,0.00202919
alpha_6,0.36943397,0.03987720,0.00159019
alpha_7,0.91661230,0.03418158,0.00116838
alpha_8,0.05863792,0.04619183,0.00213369
alpha_9,0.14245533,0.04390314,0.00192749
alpha_10,0.09052698,0.04667251,0.00217832
alpha_11,0.01377731,0.04749905,0.00225616
alpha_12,-0.00143879,0.04709158,0.00221762
alpha_13,0.68690883,0.03514347,0.00123506
alpha_14,0.15200307,0.04400536,0.00193647
alpha_15,-0.04676953,0.05027175,0.00252725
alpha_16,0.25191632,0.04131259,0.00170673
alpha_17,-0.07984299,0.04967391,0.00246750
alpha_18,0.38408347,0.03992093,0.00159368
alpha_19,-0.30130571,0.06012262,0.00361473
alpha_20,0.38688899,0.03808333,0.00145034
alpha_21,-2.51339242,0.59071274,0.34894155
alpha_22,-0.79564316,0.09657623,0.00932697
alpha_23,0.50312079,0.03670087,0.00134695
alpha_24,-0.07659836,0.05049108,0.00254935
alpha_25,0.01779682,0.04684392,0.00219435
alpha_26,0.08053656,0.04460204,0.00198934
alpha_27,0.39976541,0.03792469,0.00143828
alpha_28,0.69995048,0.03534919,0.00124957
alpha_29,0.64486034,0.03531605,0.00124722
alpha_30,0.81486703,0.03435519,0.00118028
alpha_31,0.38864743,0.03875593,0.00150202
alpha_32,0.14632947,0.04367323,0.00190735
alpha_33,0.26676277,0.04117930,0.00169573
alpha_34,0.13412717,0.04356887,0.00189825
alpha_35,-0.89369682,0.10670536,0.01138603
alpha_36,0.30732408,0.04047497,0.00163822
alpha_37,-1075.11135287,0.00000000,0.00000000
alpha_38,-1.33952578,0.16585788,0.02750884
alpha_39,-0.04683222,0.04970026,0.00247012
alpha_40,-0.44298390,0.06805156,0.00463101
alpha_41,0.56026849,0.03623637,0.00131307
alpha_42,0.84312666,0.03473863,0.00120677
alpha_43,0.36327404,0.03871073,0.00149852
alpha_44,-0.29977773,0.06073753,0.00368905
alpha_45,0.79672215,0.03549017,0.00125955
alpha_46,-0.07669530,0.05109867,0.00261107
alpha_47,0.61799601,0.03570039,0.00127452
alpha_48,-1.36434329,0.17318714,0.02999378
alpha_49,-1.45117616,0.18224074,0.03321169
alpha_50,-0.66034933,0.08460884,0.00715866
alpha_51,-367.30290870,0.00000000,0.00000000
alpha_52,-1.35544686,0.17081925,0.02917922
alpha_53,0.02345336,0.04669396,0.00218033
alpha_54,0.57829834,0.03647885,0.00133071
alpha_55,-0.50107575,0.07139625,0.00509742
alpha_56,-0.11335755,0.05231551,0.00273691
alpha_57,-1.71846116,0.25040379,0.06270206
alpha_58,-0.91487276,0.10857166,0.01178781
alpha_59,-0.99519730,0.11453160,0.01311749
alpha_60,-0.35321420,0.06078464,0.00369477
alpha_61,-0.18779101,0.05393347,0.00290882
alpha_62,-0.38203153,0.06545581,0.00428446
alpha_63,-0.32071089,0.06301943,0.00397145
alpha_64,0.34468114,0.03892969,0.00151552
alpha_65,0.29693389,0.04050663,0.00164079
alpha_66,0.59038330,0.03701911,0.00137041
alpha_67,0.09722598,0.04427098,0.00195992
alpha_68,-2.10605626,0.39960306,0.15968261
alpha_69,0.14140017,0.04375551,0.00191454
alpha_70,0.81458514,0.03529061,0.00124543
alpha_71,-0.87622295,0.10643243,0.01132786
alpha_72,-1.39851665,0.17819431,0.03175321
alpha_73,-0.54060262,0.07249318,0.00525526
alpha_74,0.57816863,0.03592320,0.00129048
alpha_75,-0.18087642,0.05561527,0.00309306
alpha_76,0.18028907,0.04289500,0.00183998
alpha_77,-0.89582584,0.10600722,0.01123753
alpha_78,0.32075262,0.03888439,0.00151200
alpha_79,0.28722273,0.04035701,0.00162869
alpha_80,-1.57211036,0.21605047,0.04667780
alpha_81,0.07626125,0.04515819,0.00203926
alpha_82,-0.29025212,0.05902422,0.00348386
alpha_83,1.81809219,0.05843746,0.00341494
alpha_84,-0.02604876,0.04949876,0.00245013
alpha_85,0.32243805,0.04051665,0.00164160
alpha_86,0.41794452,0.03905308,0.00152514
alpha_87,1.07383561,0.03666838,0.00134457
alpha_88,0.62411122,0.03587645,0.00128712
alpha_89,1.38323844,0.04732327,0.00223949
alpha_90,-0.98699588,0.12193715,0.01486867
alpha_91,-0.53608730,0.07428291,0.00551795
alpha_92,0.76643630,0.03516212,0.00123637
alpha_93,1.20166165,0.03642020,0.00132643
alpha_94,-0.16975027,0.05316621,0.00282665
alpha_95,0.94130050,0.03442695,0.00118521
alpha_96,0.75794797,0.03629852,0.00131758
alpha_97,-0.48859019,0.06763121,0.00457398
alpha_98,1.88447174,0.06313729,0.00398632
alpha_99,0.63649551,0.03519472,0.00123867
alpha_100,0.60875159,0.03593922,0.00129163
"beta_1,2",0.43455893,0.01988041,0.00039523
"beta_1,3",0.56856053,0.01997777,0.00039911
"beta_2,1",0.47135469,0.01961022,0.00038456
"beta_2,2",0.77430712,0.02046229,0.00041871
"beta_2,3",0.88173472,0.02098547,0.00044039
"beta_3,1",0.64417829,0.02003344,0.00040134
"beta_3,2",0.92169262,0.02143430,0.00045943
"beta_3,3",1.02649711,0.02213987,0.00049017
