Parameter,Estimate,Std. Err.,Variance
lambda,0.17652770,0.00502222,0.00002522
eta,-0.04773904,0.02399583,0.00057580
alpha_2,0.50968027,0.01974034,0.00038968
alpha_3,1.09939457,0.01987912,0.00039518
alpha_4,0.41705245,0.02208834,0.00048789
alpha_5,-0.08665621,0.02340593,0.00054784
alpha_6,-0.39531883,0.02732343,0.00074657
alpha_7,0.91373207,0.01906794,0.00036359
alpha_8,0.29407159,0.02006424,0.00040257
alpha_9,-0.27579120,0.02881678,0.00083041
alpha_10,0.13201190,0.02395863,0.00057402
alpha_11,0.11403213,0.02296000,0.00052716
alpha_12,0.08406556,0.02017546,0.00040705
alpha_13,0.68230684,0.02025961,0.00041045
alpha_14,0.29356489,0.02049504,0.00042005
alpha_15,0.23471003,0.02150388,0.00046242
alpha_16,0.20567885,0.02067167,0.00042732
alpha_17,0.74665024,0.01814831,0.00032936
alpha_18,-0.05917562,0.02367810,0.00056065
alpha_19,0.32240664,0.02021737,0.00040874
alpha_20,0.77373734,0.01833444,0.00033615
alpha_21,-1.43541468,0.04478268,0.00200549
alpha_22,-0.18632236,0.02445974,0.00059828
alpha_23,0.55746189,0.02043177,0.00041746
alpha_24,0.04466267,0.02241451,0.00050241
alpha_25,0.19768223,0.02139220,0.00045763
alpha_26,0.06251031,0.02175568,0.00047331
alpha_27,0.44351299,0.01978667,0.00039151
alpha_28,0.74731529,0.02252923,0.00050757
alpha_29,0.68198180,0.01824147,0.00033275
alpha_30,0.55604909,0.02186879,0.00047824
alpha_31,-0.59750744,0.03143840,0.00098837
alpha_32,-0.02502305,0.02202621,0.00048515
alpha_33,-0.05290218,0.02273613,0.00051693
alpha_34,-0.79498575,0.03563130,0.00126959
alpha_35,-0.28016727,0.02549494,0.00064999
alpha_36,-0.37642496,0.02779626,0.00077263
alpha_37,-1.53066001,0.05401338,0.00291745
alpha_38,-1.26200894,0.03945000,0.00155630
alpha_39,0.41939758,0.02047212,0.00041911
alpha_40,-0.61438301,0.02983360,0.00089004
alpha_41,0.09057907,0.02337334,0.00054631
alpha_42,0.03843493,0.02260636,0.00051105
alpha_43,-0.48838858,0.02939473,0.00086405
alpha_44,-0.52699051,0.02958836,0.00087547
alpha_45,0.11659592,0.02178612,0.00047464
alpha_46,0.20825512,0.02112569,0.00044629
alpha_47,0.71280472,0.01993081,0.00039724
alpha_48,-1.77694954,0.06613922,0.00437440
alpha_49,-1.12126971,0.03768757,0.00142035
alpha_50,-0.49695595,0.03027756,0.00091673
alpha_51,-0.74408500,0.03353009,0.00112427
alpha_52,-0.87601139,0.03423413,0.00117198
alpha_53,-0.45470511,0.02705317,0.00073187
alpha_54,-0.07850981,0.02776733,0.00077102
alpha_55,-1.49850834,0.04750026,0.00225627
alpha_56,-0.53638359,0.03025210,0.00091519
alpha_57,-1.60467847,0.05288001,0.00279630
alpha_58,-0.36660328,0.02635344,0.00069450
alpha_59,-1.32373089,0.04497467,0.00202272
alpha_60,-1.13335798,0.03594019,0.00129170
alpha_61,-0.85258278,0.03316301,0.00109979
alpha_62,-0.77068781,0.03405101,0.00115947
alpha_63,-0.60889709,0.03237793,0.00104833
alpha_64,0.10863478,0.02207063,0.00048711
alpha_65,0.56279745,0.02148371,0.00046155
alpha_66,0.01472400,0.02351120,0.00055278
alpha_67,-0.54441731,0.02898893,0.00084036
alpha_68,-1.73406075,0.05928283,0.00351445
alpha_69,-0.70490547,0.03080887,0.00094919
alpha_70,0.57229265,0.01890317,0.00035733
alpha_71,-0.56305971,0.03189927,0.00101756
alpha_72,-1.45574314,0.05078180,0.00257879
alpha_73,-0.82450621,0.03234950,0.00104649
alpha_74,-0.61810452,0.03125934,0.00097715
alpha_75,-1.21709234,0.04363102,0.00190367
alpha_76,-0.07655923,0.02344260,0.00054956
alpha_77,-0.93456521,0.03474665,0.00120733
alpha_78,0.35035611,0.01837705,0.00033772
alpha_79,-0.12267446,0.02261468,0.00051142
alpha_80,-1.46021370,0.04733239,0.00224036
alpha_81,-0.24561754,0.02503484,0.00062674
alpha_82,0.10490059,0.02211492,0.00048907
alpha_83,1.41473499,0.02420794,0.00058602
alpha_84,-0.29158124,0.02495668,0.00062284
alpha_85,-0.05211928,0.02661295,0.00070825
alpha_86,0.64550927,0.02200381,0.00048417
alpha_87,0.95950495,0.01913990,0.00036634
alpha_88,0.12014667,0.02369271,0.00056134
alpha_89,0.34024360,0.02208349,0.00048768
alpha_90,-0.82662241,0.03407370,0.00116102
alpha_91,-0.71829442,0.03270719,0.00106976
alpha_92,0.26136404,0.02051085,0.00042070
alpha_93,0.81008849,0.01992560,0.00039703
alpha_94,0.20355631,0.02196824,0.00048260
alpha_95,0.80803386,0.02008393,0.00040336
alpha_96,0.86854073,0.02008466,0.00040339
alpha_97,-0.09471922,0.02290004,0.00052441
alpha_98,2.26602556,0.02966391,0.00087995
alpha_99,1.00303436,0.02086507,0.00043535
alpha_100,0.83683356,0.02175407,0.00047324
"beta_1,2",1.08599539,0.01529191,0.00023384
"beta_1,3",1.52532072,0.01625659,0.00026428
"beta_2,1",1.29657505,0.01567538,0.00024572
"beta_2,2",2.09272267,0.01888807,0.00035676
"beta_2,3",2.39956709,0.02100503,0.00044121
"beta_3,1",1.75134182,0.01700948,0.00028932
"beta_3,2",2.49737718,0.02197579,0.00048294
"beta_3,3",2.78876384,0.02421132,0.00058619
