index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,2.962387082135576
1,1,3,4.596617560108767
1,2,1,3.656751006392368
1,2,2,8.106957713953127
1,2,3,11.01840537013825
1,3,1,5.762329499812475
1,3,2,12.150583338096308
1,3,3,16.260906290670476
2,1,1,1.6647588365021442
2,1,2,4.931660072125004
2,1,3,7.652259701211997
2,2,1,6.087608550779803
2,2,2,13.496129491452688
2,2,3,18.342987704100327
2,3,1,9.592888953649798
2,3,2,20.227790980751546
2,3,3,27.070487436926978
3,1,1,3.002347762181205
3,1,2,8.89411622676426
3,1,3,13.800644445195388
3,2,1,10.978838200895993
3,2,2,24.339906350584823
3,2,3,33.08108470583994
3,3,1,17.300517078712726
3,3,2,36.480276694329696
3,3,3,48.82089561283278
4,1,1,1.5174821027841137
4,1,2,4.495369378659588
4,1,3,6.975284880808235
4,2,1,5.549054206538214
4,2,2,12.302163238951481
4,2,3,16.720232950405162
4,3,1,8.744231886310365
4,3,2,18.438292753947998
4,3,3,24.675634271142055
5,1,1,0.9169922942298183
5,1,2,2.7164861268442793
5,1,3,4.215062882141209
5,2,1,3.353212494778935
5,2,2,7.434017753341999
5,2,3,10.103792819117222
5,3,1,5.284011748141204
5,3,2,11.141991291431536
5,3,3,14.911125765738003
6,1,1,0.6734652840789686
6,1,2,1.9950648578223025
6,1,3,3.0956623509210255
6,2,1,2.46269485532609
6,2,2,5.459754579843628
6,2,3,7.420513502697389
6,3,1,3.8807288735478296
6,3,2,8.182996059516212
6,3,3,10.95115587442788
7,1,1,2.493611521777757
7,1,2,7.387042559978863
7,1,3,11.46217850909318
7,2,1,9.118516441812417
7,2,2,20.215603162078583
7,2,3,27.47562258259465
7,3,1,14.369011233012248
7,3,2,30.298834608197794
7,3,3,40.54838328096431
8,1,1,1.341879965415124
8,1,2,3.975167875322297
8,1,3,6.168109012585305
8,2,1,4.90692091398951
8,2,2,10.878564136821296
8,2,3,14.785377417010935
8,3,1,7.732354509918915
8,3,2,16.30462434949826
8,3,3,21.820184370943476
9,1,1,0.7589713874434862
9,1,2,2.248367033873099
9,1,3,3.4887012071428436
9,2,1,2.77536938485698
9,2,2,6.152948944104678
9,2,3,8.362654411188588
9,3,1,4.373443215379204
9,3,2,9.221945094362662
9,3,3,12.341562608518686
10,1,1,1.1411218985370308
10,1,2,3.380444771368124
10,1,3,5.24530095703997
10,2,1,4.172798650891657
10,2,2,9.251026977905621
10,2,3,12.573343654822779
10,3,1,6.575520378821951
10,3,2,13.865296727100874
10,3,3,18.555676258342647
11,1,1,1.1207881352284286
11,1,2,3.3202082936115183
11,1,3,5.151834423552555
11,2,1,4.098443141449182
11,2,2,9.086182018597249
11,2,3,12.349298007988153
11,3,1,6.458350534666588
11,3,2,13.618229641442577
11,3,3,18.225030838644788
12,1,1,1.0877002010965315
12,1,2,3.2221890249646337
12,1,3,4.999741844494154
12,2,1,3.977448805012923
12,2,2,8.817939535747893
12,2,3,11.984721736862477
12,3,1,6.267686955730506
12,3,2,13.21619194028752
12,3,3,17.68699104237413
13,1,1,1.9784364083849293
13,1,2,5.860894459026219
13,1,3,9.094115536340686
13,2,1,7.234649327444891
13,2,2,16.03910030252192
13,2,3,21.799214346625533
13,3,1,11.400402479539517
13,3,2,24.03915645920502
13,3,3,32.171169038798
14,1,1,1.3412002070679694
14,1,2,3.9731541679757125
14,1,3,6.164984423430142
14,2,1,4.904435206969449
14,2,2,10.873053364645202
14,2,3,14.777887563988243
14,3,1,7.728437518342358
14,3,2,16.296364889051382
14,3,3,21.809130884160083
15,1,1,1.2645420363104922
15,1,2,3.7460629931836187
15,1,3,5.8126161296005066
15,2,1,4.624115363903846
15,2,2,10.25158881588534
15,2,3,13.933236763649084
15,3,1,7.286707879584887
15,3,2,15.364923396716643
15,3,3,20.562599553058536
16,1,1,1.228358653262224
16,1,2,3.6388738066534656
16,1,3,5.646294955696694
16,2,1,4.491801741527411
16,2,2,9.95825165956526
16,2,3,13.534553581560276
16,3,1,7.078207304042836
16,3,2,14.925274185534398
16,3,3,19.97422495203121
17,1,1,2.1099204387004105
17,1,2,6.2504010519399245
17,1,3,9.698497338962698
17,2,1,7.715453687625552
17,2,2,17.10503577634966
17,2,3,23.247958692341054
17,3,1,12.158056786180655
17,3,2,25.63676412718206
17,3,3,34.309218534477715
18,1,1,0.9425412255311116
18,1,2,2.7921719508936
18,1,3,4.332501548402746
18,2,1,3.446638575027188
18,2,2,7.641141859038279
18,2,3,10.385301300968688
18,3,1,5.431233108667328
18,3,2,11.4524257104072
18,3,3,15.326574543455113
19,1,1,1.3804460064041826
19,1,2,4.0894154169573955
19,1,3,6.345382353819486
19,2,1,5.04794732318882
19,2,2,11.191217400314176
19,2,3,15.210313690149748
19,3,1,7.954584745601143
19,3,2,16.773224244556253
19,3,3,22.447303149468713
20,1,1,2.1678531368987697
20,1,2,6.422020128716001
20,1,3,9.964791796805759
20,2,1,7.927299140065425
20,2,2,17.57469371089896
20,2,3,23.886284645276447
20,3,1,12.491884082012788
20,3,2,26.34068020464201
20,3,3,35.25125671104692
21,1,1,0.23801664280580753
21,1,2,0.7050974279812019
21,1,3,1.094071479919311
21,2,1,0.8703675981182695
21,2,2,1.9295908584437673
21,2,3,2.6225638552737873
21,3,1,1.3715303222862334
21,3,2,2.8920410542658654
21,3,3,3.8703663242852233
22,1,1,0.8300059911205621
22,1,2,2.4587990261906887
22,1,3,3.8152201137802573
22,2,1,3.03512524334181
22,2,2,6.728823472342151
22,2,3,9.14534246980972
22,3,1,4.782768007655107
22,3,2,10.085056966229612
22,3,3,13.49664964230653
23,1,1,1.7462347350668685
23,1,2,5.173023221538531
23,1,3,8.02677324728025
23,2,1,6.38554562485308
23,2,2,14.156651155823242
23,2,3,19.240722182382726
23,3,1,10.062379927473037
23,3,2,21.21777067630851
23,3,3,28.39535938843613
24,1,1,1.0456750628385971
24,1,2,3.097694298264367
24,1,3,4.806568356011734
24,2,1,3.8237733383944423
24,2,2,8.477243516967787
24,2,3,11.521671727800452
24,3,1,6.0255242618131115
24,3,2,12.70556199558947
24,3,3,17.003624207309393
25,1,1,1.2185751056792935
25,1,2,3.609891151676334
25,1,3,5.601323729076838
25,2,1,4.456025744057443
25,2,2,9.878936853017994
25,2,3,13.426754488333511
25,3,1,7.021831279192898
25,3,2,14.806398375285768
25,3,3,19.81513560159486
26,1,1,1.0645054339123068
26,1,2,3.1534771462849442
26,1,3,4.8931243703525125
26,2,1,3.892631316768972
26,2,2,8.629900539000396
26,2,3,11.72915238956071
26,3,1,6.1340310645435645
26,3,2,12.934361988607856
26,3,3,17.309823106757534
27,1,1,1.5581714557286888
27,1,2,4.615906992203053
27,1,3,7.1623182750627326
27,2,1,5.697845038867743
