Parameter,Estimate,Std. Err.,Variance
lambda,11.75192315,1.22188120,1.49299366
eta,1.51782354,0.08521474,0.00726155
alpha_2,-1.43407704,0.11384356,0.01296036
alpha_3,-2.28784785,0.09637681,0.00928849
alpha_4,-1.29800913,0.15334826,0.02351569
alpha_5,-1.87462309,0.09761949,0.00952957
alpha_6,-0.93762624,0.15116355,0.02285042
alpha_7,-0.16823308,0.04695765,0.00220502
alpha_8,-1.38214518,0.15813432,0.02500646
alpha_9,-1.36581025,0.15645636,0.02447859
alpha_10,-0.47466397,0.07584466,0.00575241
alpha_11,-2.17237290,0.09954836,0.00990988
alpha_12,-0.42916151,0.07909713,0.00625636
alpha_13,-0.18850031,0.04954943,0.00245515
alpha_14,-0.99063810,0.18426868,0.03395495
alpha_15,-1.56226488,0.10598725,0.01123330
alpha_16,-1.52094579,0.11306002,0.01278257
alpha_17,-1.31017809,0.12574519,0.01581185
alpha_18,0.00909950,0.03642420,0.00132672
alpha_19,-1.98361348,0.10072557,0.01014564
alpha_20,-1.31612727,0.13189956,0.01739749
alpha_21,-2.07605197,0.10106514,0.01021416
alpha_22,-1.81884450,0.10076664,0.01015392
alpha_23,-1.04786067,0.12708155,0.01614972
alpha_24,-1.36834040,0.14242213,0.02028406
alpha_25,-1.27452270,0.16215666,0.02629478
alpha_26,-1.10119461,0.14359588,0.02061978
alpha_27,-0.24101717,0.05121650,0.00262313
alpha_28,-1.23385387,0.16759458,0.02808794
alpha_29,-1.17342636,0.20869389,0.04355314
alpha_30,-0.14118001,0.04128308,0.00170429
alpha_31,-1.17756315,0.13846031,0.01917126
alpha_32,-1.12408268,0.16652858,0.02773177
alpha_33,-1.82666236,0.10473531,0.01096949
alpha_34,-0.38215679,0.08627188,0.00744284
alpha_35,-2.38128037,0.10079567,0.01015977
alpha_36,-0.41846362,0.07802904,0.00608853
alpha_37,-2.63167194,0.10191431,0.01038653
alpha_38,-2.35446146,0.09865123,0.00973207
alpha_39,-1.58179569,0.10748865,0.01155381
alpha_40,-1.30149123,0.13063230,0.01706480
alpha_41,-0.27581781,0.06221408,0.00387059
alpha_42,-0.32157488,0.06442694,0.00415083
alpha_43,-1.28945402,0.17973896,0.03230609
alpha_44,-1.38457070,0.13372630,0.01788272
alpha_45,-0.04622468,0.03987688,0.00159017
alpha_46,-1.26440762,0.15351665,0.02356736
alpha_47,-0.58714793,0.10565321,0.01116260
alpha_48,-2.09553986,0.09952876,0.00990597
alpha_49,-1.84465942,0.10015887,0.01003180
alpha_50,-2.04606026,0.10021623,0.01004329
alpha_51,-2.20591123,0.10013375,0.01002677
alpha_52,-1.64675145,0.10278489,0.01056473
alpha_53,-1.47518080,0.12129495,0.01471246
alpha_54,-0.73137803,0.15422247,0.02378457
alpha_55,-1.78910989,0.10203492,0.01041112
alpha_56,-1.68109351,0.11160396,0.01245544
alpha_57,-1.94101362,0.10159761,0.01032207
alpha_58,-2.32839614,0.09832937,0.00966867
alpha_59,-1.52542202,0.11038986,0.01218592
alpha_60,-2.25430899,0.09976867,0.00995379
alpha_61,-1.49485189,0.11593264,0.01344038
alpha_62,-1.50929594,0.11970192,0.01432855
alpha_63,-1.51609186,0.11096775,0.01231384
alpha_64,-1.08928619,0.14073292,0.01980576
alpha_65,-1.30510336,0.14822337,0.02197017
alpha_66,-0.03794658,0.04088294,0.00167141
alpha_67,-1.18491065,0.14026876,0.01967533
alpha_68,-2.02256340,0.09986730,0.00997348
alpha_69,-1.80959850,0.09865256,0.00973233
alpha_70,-0.65920433,0.16696942,0.02787879
alpha_71,-2.12670738,0.09884241,0.00976982
alpha_72,-1.71968303,0.10381367,0.01077728
alpha_73,-1.85666191,0.10035525,0.01007118
alpha_74,-0.38434561,0.06914151,0.00478055
alpha_75,-1.64246846,0.10847640,0.01176713
alpha_76,-1.20273172,0.13954320,0.01947230
alpha_77,-1.94649221,0.10023368,0.01004679
alpha_78,-0.25435350,0.06066725,0.00368052
alpha_79,-0.43428867,0.07341282,0.00538944
alpha_80,-2.37087865,0.09993006,0.00998602
alpha_81,-0.22345583,0.05043568,0.00254376
alpha_82,-1.57449426,0.11511745,0.01325203
alpha_83,0.40939479,0.02424437,0.00058779
alpha_84,-2.24787490,0.09922900,0.00984639
alpha_85,-1.72228287,0.10575797,0.01118475
alpha_86,-1.33651890,0.14869858,0.02211127
alpha_87,-0.02746510,0.03284402,0.00107873
alpha_88,-0.13776639,0.04509512,0.00203357
alpha_89,0.03798176,0.03484025,0.00121384
alpha_90,-1.69083140,0.10321395,0.01065312
alpha_91,-1.33030587,0.13864894,0.01922353
alpha_92,-0.07841085,0.03872099,0.00149931
alpha_93,-0.04148044,0.04026781,0.00162150
alpha_94,-1.65616751,0.11054409,0.01222000
alpha_95,-0.03146191,0.04491156,0.00201705
alpha_96,-0.37605164,0.08573576,0.00735062
alpha_97,-1.64896976,0.10673754,0.01139290
alpha_98,-0.05372880,0.04367674,0.00190766
alpha_99,-0.82065860,0.16836568,0.02834700
alpha_100,-0.50718336,0.08202441,0.00672800
"beta_1,2",0.45068580,0.02117371,0.00044833
"beta_1,3",0.46764697,0.02160222,0.00046666
"beta_2,1",0.49332207,0.02228685,0.00049670
"beta_2,2",0.80204478,0.02547231,0.00064884
"beta_2,3",0.87911852,0.02562185,0.00065648
"beta_3,1",0.56883921,0.02427900,0.00058947
"beta_3,2",0.98109872,0.02386456,0.00056952
"beta_3,3",1.01912503,0.02343449,0.00054918
