index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,1.569388102876881
1,1,3,1.5962337847928483
1,2,1,1.6377479059253042
1,2,2,2.2300963258777395
1,2,3,2.4087754829118095
1,3,1,1.766215655573345
1,3,2,2.6673853421273708
1,3,3,2.77076936297296
2,1,1,0.23833523642216833
2,1,2,0.37404048453729966
2,1,3,0.38043875648365605
2,2,1,0.3903330343586185
2,2,2,0.53151053507228
2,2,3,0.5740960742077089
2,3,1,0.4209514258436083
2,3,2,0.6357319161449533
2,3,3,0.6603719711954612
3,1,1,0.1014846371585421
3,1,2,0.159268782181393
3,1,3,0.1619932064699086
3,2,1,0.16620625198999164
3,2,2,0.22632051646030027
3,2,3,0.24445370587969703
3,3,1,0.17924375494959752
3,3,2,0.2706986336078099
3,3,3,0.2811905234513157
4,1,1,0.27307490886192487
4,1,2,0.4285605131620935
4,1,3,0.43589139530463245
4,2,1,0.4472278601493608
4,2,2,0.6089833509423772
4,2,3,0.6577761454649815
4,3,1,0.48230917917619615
4,3,2,0.7283960092010661
4,3,3,0.7566275912712547
5,1,1,0.153412778759742
5,1,2,0.24076418981482214
5,1,3,0.24488266047525084
5,2,1,0.25125145715594943
5,2,2,0.3421252742547951
5,2,3,0.36953694024184014
5,3,1,0.27096005161046627
5,3,2,0.409210997358765
5,3,3,0.42507142727604197
6,1,1,0.3915561935027749
6,1,2,0.6145036316910127
6,1,3,0.6250152247140152
6,2,1,0.6412703359612527
6,2,2,0.8732080285052114
6,2,3,0.9431709590917566
6,3,1,0.6915726790013071
6,3,2,1.0444312511684901
6,3,3,1.0849119048398006
7,1,1,0.8451568225735537
7,1,2,1.3263790624121623
7,1,3,1.3490678736400814
7,2,1,1.3841538163483216
7,2,2,1.8847811248117867
7,2,3,2.0357930334308225
7,3,1,1.4927292114440345
7,3,2,2.25435892033164
7,3,3,2.3417346308943765
8,1,1,0.25103945022235297
8,1,2,0.3939783265317137
8,1,3,0.4007176517607423
8,2,1,0.4111393339062982
8,2,2,0.559842155591237
8,2,3,0.6046976729392635
8,3,1,0.4433898071492453
8,3,2,0.669618949818818
8,3,3,0.695572417573671
9,1,1,0.25517383760207535
9,1,2,0.40046678489813436
9,1,3,0.4073171005756764
9,2,1,0.4179104181797226
9,2,2,0.5690622376965112
9,2,3,0.6146564838963988
9,3,1,0.45069202686551585
9,3,2,0.6806469541141659
9,3,3,0.7070278514600679
10,1,1,0.6220940636149136
10,1,2,0.976307022307579
10,1,3,0.9930075616611964
10,2,1,1.0188332499738877
10,2,2,1.3873296856179715
10,2,3,1.4984849285005837
10,3,1,1.0987522743959008
10,3,2,1.6593645867108724
10,3,3,1.7236791723515543
11,1,1,0.11390700603691646
11,1,2,0.17876430010866176
11,1,3,0.181822211360729
11,2,1,0.18655096060718093
11,2,2,0.2540235956546609
11,2,3,0.27437640347361186
11,3,1,0.20118433734188942
11,3,2,0.30383387826848485
11,3,3,0.31561004255506414
12,1,1,0.6510547688333229
12,1,2,1.021757608528275
12,1,3,1.039235617762248
12,2,1,1.0662635842994577
12,2,2,1.4519148479203745
12,2,3,1.568244765198524
12,3,1,1.1499031253491
12,3,2,1.7366139473081292
12,3,3,1.803922607100814
13,1,1,0.8282002466965258
13,1,2,1.2997676139652254
13,1,3,1.322001214350766
13,2,1,1.3563832197140553
13,2,2,1.8469663272489596
13,2,3,1.9949484491841039
13,3,1,1.4627802416651103
13,3,2,2.209129198384585
13,3,3,2.294751869953381
14,1,1,0.3713396635671566
14,1,2,0.5827760501285991
14,1,3,0.5927449166195053
14,2,1,0.6081607563941176
14,2,2,0.8281232193737917
14,2,3,0.8944738774332865
14,3,1,0.6558659273276509
14,3,2,0.9905059755495427
14,3,3,1.0288965630685638
15,1,1,0.20966067677470585
15,1,2,0.32903897177133856
15,1,3,0.3346674556103187
15,2,1,0.3433713343426566
15,2,2,0.4675635049563118
15,2,3,0.5050254979456089
15,3,1,0.37030596967758833
15,3,2,0.5592458160493549
15,3,3,0.5809213798275314
16,1,1,0.21850512922676119
16,1,2,0.34291935022605446
16,1,3,0.34878526942228333
16,2,1,0.3578563178250661
16,2,2,0.48728748587404075
16,2,3,0.5263297981718991
16,3,1,0.3859271800633825
16,3,2,0.5828373788791097
16,3,3,0.6054273177139574
17,1,1,0.26977200840940424
17,1,2,0.42337698048692096
17,1,3,0.43061919401451143
17,2,1,0.4418185418497654
17,2,2,0.6016175647784711
17,2,3,0.6498201998324515
17,3,1,0.47647554468815395
17,3,2,0.7195859009475066
17,3,3,0.7474760158884611
18,1,1,1.0091410263107772
18,1,2,1.5837339208170993
18,1,3,1.610824999817791
18,2,1,1.6527186026237874
18,2,2,2.250481695068155
18,2,3,2.4307941629778615
18,3,1,1.7823606793514477
18,3,2,2.6917679817207385
18,3,3,2.7960970386209913
19,1,1,0.13757122719992876
19,1,2,0.21590264726574057
19,1,3,0.2195958406719391
19,2,1,0.2253069892622576
19,2,2,0.30679708832505287
19,2,3,0.3313781992332787
19,3,1,0.24298045523695178
19,3,2,0.3669554749315643
19,3,3,0.381178141552155
20,1,1,0.2681718507050158
20,1,2,0.42086571202292694
20,1,3,0.42806496822577
20,2,1,0.43919788692025297
20,2,2,0.5980490589610894
20,2,3,0.6459657791853282
20,3,1,0.4736493210992767
20,3,2,0.7153176637417288
20,3,3,0.7430423479452164
21,1,1,0.12542441534675022
21,1,2,0.1968395852554783
21,1,3,0.20020668921437332
21,2,1,0.20541357358604576
21,2,2,0.27970852784015127
21,2,3,0.3021192566457997
21,3,1,0.221526565976564
21,3,2,0.33455524704081674
21,3,3,0.34752212741157107
22,1,1,0.16221307989755046
22,1,2,0.25457527772223265
22,1,3,0.2589299984677717
22,2,1,0.2656641319159073
22,2,2,0.36175079348883954
22,2,3,0.3907348898648341
22,3,1,0.2865032812538235
