Parameter,Estimate,Std. Err.,Variance
lambda,0.20461819,0.00544987,0.00002970
eta,0.09046525,0.02387379,0.00056996
alpha_2,0.49775651,0.02064225,0.00042610
alpha_3,1.11526087,0.01950547,0.00038046
alpha_4,0.43585082,0.02287100,0.00052308
alpha_5,-0.05995287,0.02302170,0.00053000
alpha_6,-0.34680425,0.02704090,0.00073121
alpha_7,0.91430569,0.01924204,0.00037026
alpha_8,0.26786773,0.02062597,0.00042543
alpha_9,-0.26827720,0.02895909,0.00083863
alpha_10,0.14991540,0.02340259,0.00054768
alpha_11,0.10937494,0.02329002,0.00054243
alpha_12,0.12559801,0.02023346,0.00040939
alpha_13,0.72631328,0.01995113,0.00039805
alpha_14,0.33123403,0.02118465,0.00044879
alpha_15,0.24491840,0.02240987,0.00050220
alpha_16,0.21554378,0.02115439,0.00044751
alpha_17,0.79522779,0.01951097,0.00038068
alpha_18,0.00052473,0.02428530,0.00058978
alpha_19,0.34637257,0.02028765,0.00041159
alpha_20,0.79707289,0.01785184,0.00031869
alpha_21,-1.38403641,0.04426959,0.00195980
alpha_22,-0.19772935,0.02500052,0.00062503
alpha_23,0.54258117,0.02138018,0.00045711
alpha_24,0.06715420,0.02210746,0.00048874
alpha_25,0.19421741,0.02089721,0.00043669
alpha_26,0.05518837,0.02191850,0.00048042
alpha_27,0.45705072,0.02010355,0.00040415
alpha_28,0.60825006,0.02183296,0.00047668
alpha_29,0.68877160,0.01875674,0.00035182
alpha_30,0.55594589,0.02162397,0.00046760
alpha_31,-0.58183223,0.03118420,0.00097245
alpha_32,-0.01517140,0.02276417,0.00051821
alpha_33,-0.04516664,0.02278663,0.00051923
alpha_34,-0.75972435,0.03479501,0.00121069
alpha_35,-0.25840554,0.02599331,0.00067565
alpha_36,-0.31570845,0.02748294,0.00075531
alpha_37,-1.54441113,0.05633764,0.00317393
alpha_38,-1.23733619,0.03984421,0.00158756
alpha_39,0.44036298,0.02142911,0.00045921
alpha_40,-0.60649348,0.02972425,0.00088353
alpha_41,0.13840906,0.02443963,0.00059730
alpha_42,0.09445789,0.02319911,0.00053820
alpha_43,-0.47922671,0.02928391,0.00085755
alpha_44,-0.50057253,0.02956264,0.00087395
alpha_45,0.13128088,0.02227117,0.00049601
alpha_46,0.21269978,0.02220189,0.00049292
alpha_47,0.83748272,0.02080121,0.00043269
alpha_48,-1.68707642,0.06230607,0.00388205
alpha_49,-1.07899837,0.03770326,0.00142154
alpha_50,-0.45790506,0.02984726,0.00089086
alpha_51,-0.72469205,0.03327057,0.00110693
alpha_52,-0.81336462,0.03354280,0.00112512
alpha_53,-0.42503153,0.02679140,0.00071778
alpha_54,-0.00606399,0.02609864,0.00068114
alpha_55,-1.41901478,0.04604955,0.00212056
alpha_56,-0.49288846,0.02902853,0.00084266
alpha_57,-1.58370877,0.05353788,0.00286630
alpha_58,-0.32440328,0.02613763,0.00068318
alpha_59,-1.29074549,0.04419305,0.00195303
alpha_60,-1.08075762,0.03621414,0.00131146
alpha_61,-0.81926000,0.03313567,0.00109797
alpha_62,-0.74676137,0.03258054,0.00106149
alpha_63,-0.58879457,0.03261827,0.00106395
alpha_64,0.13908752,0.02186217,0.00047795
alpha_65,0.59041337,0.02281592,0.00052057
alpha_66,0.03469306,0.02341664,0.00054834
alpha_67,-0.50553258,0.02866862,0.00082189
alpha_68,-1.65599445,0.05665969,0.00321032
alpha_69,-0.65297861,0.03051393,0.00093110
alpha_70,0.62081054,0.01856309,0.00034459
alpha_71,-0.53701526,0.03137344,0.00098429
alpha_72,-1.41977483,0.05045848,0.00254606
alpha_73,-0.81484366,0.03248252,0.00105511
alpha_74,-0.55407638,0.03067808,0.00094114
alpha_75,-1.17319128,0.04320773,0.00186691
alpha_76,-0.03741162,0.02344175,0.00054952
alpha_77,-0.88441726,0.03437841,0.00118188
alpha_78,0.38519835,0.01896604,0.00035971
alpha_79,-0.05192082,0.02383417,0.00056807
alpha_80,-1.43471274,0.04737495,0.00224439
alpha_81,-0.21317506,0.02375273,0.00056419
alpha_82,0.13265356,0.02254765,0.00050840
alpha_83,1.23709497,0.02176776,0.00047384
alpha_84,-0.26169857,0.02498640,0.00062432
alpha_85,-0.02535775,0.02708025,0.00073334
alpha_86,0.65975179,0.02158809,0.00046605
alpha_87,0.98927447,0.01876668,0.00035219
alpha_88,0.15919678,0.02343376,0.00054914
alpha_89,0.42232112,0.02228400,0.00049658
alpha_90,-0.81929664,0.03457441,0.00119539
alpha_91,-0.68736115,0.03215992,0.00103426
alpha_92,0.30519278,0.02137369,0.00045683
alpha_93,0.84258745,0.01923215,0.00036988
alpha_94,0.23118848,0.02188001,0.00047873
alpha_95,0.86190632,0.01931760,0.00037317
alpha_96,0.90366726,0.02148214,0.00046148
alpha_97,-0.07408379,0.02283189,0.00052130
alpha_98,2.32824655,0.03758828,0.00141288
alpha_99,1.05786655,0.01960460,0.00038434
alpha_100,0.85593069,0.02263084,0.00051215
"beta_1,2",1.06542430,0.01539919,0.00023714
"beta_1,3",1.47873830,0.01604547,0.00025746
"beta_2,1",1.24291070,0.01549943,0.00024023
"beta_2,2",2.01780563,0.01834306,0.00033647
"beta_2,3",2.33851443,0.02045307,0.00041833
"beta_3,1",1.69265817,0.01668118,0.00027826
"beta_3,2",2.41121553,0.02119962,0.00044942
"beta_3,3",2.70927776,0.02341173,0.00054811
