Parameter,Estimate,Std. Err.,Variance
lambda,0.17338161,0.00580667,0.00003372
eta,-0.37934925,0.02231123,0.00049779
alpha_2,0.38964945,0.02422998,0.00058709
alpha_3,1.27811712,0.02238369,0.00050103
alpha_4,0.67958067,0.02383115,0.00056792
alpha_5,0.04119150,0.02589982,0.00067080
alpha_6,-0.53414394,0.03757911,0.00141219
alpha_7,1.13693119,0.02129806,0.00045361
alpha_8,0.30041506,0.02319645,0.00053808
alpha_9,-0.25584969,0.03485823,0.00121510
alpha_10,0.13232731,0.02522886,0.00063650
alpha_11,0.30034844,0.02783719,0.00077491
alpha_12,0.35985772,0.02239335,0.00050146
alpha_13,0.87219308,0.02160748,0.00046688
alpha_14,0.50628567,0.02185227,0.00047752
alpha_15,0.18975372,0.02554047,0.00065232
alpha_16,0.25380957,0.02383707,0.00056821
alpha_17,0.71621246,0.02195171,0.00048188
alpha_18,0.18868411,0.02630196,0.00069179
alpha_19,0.47963581,0.02326416,0.00054122
alpha_20,1.07362547,0.01842211,0.00033937
alpha_21,-1.21886950,0.05076815,0.00257740
alpha_22,0.01211621,0.02605639,0.00067894
alpha_23,0.67231086,0.02295800,0.00052707
alpha_24,0.36274748,0.02452515,0.00060148
alpha_25,0.11065549,0.02581312,0.00066632
alpha_26,0.17289925,0.02493120,0.00062156
alpha_27,0.44924845,0.02285230,0.00052223
alpha_28,0.91866897,0.02133581,0.00045522
alpha_29,0.98018738,0.02213507,0.00048996
alpha_30,0.89925886,0.02356090,0.00055512
alpha_31,-1.01742946,0.04434964,0.00196689
alpha_32,-0.10146858,0.02769102,0.00076679
alpha_33,0.05811482,0.02698383,0.00072813
alpha_34,-0.98022271,0.04629502,0.00214323
alpha_35,-0.50125234,0.03676403,0.00135159
alpha_36,-0.28966849,0.03216475,0.00103457
alpha_37,-2.47306827,0.20930636,0.04380915
alpha_38,-1.54252516,0.06891480,0.00474925
alpha_39,0.39462093,0.02408822,0.00058024
alpha_40,-0.55647575,0.03513173,0.00123424
alpha_41,0.24513863,0.02673827,0.00071493
alpha_42,0.28033205,0.02338988,0.00054709
alpha_43,-0.38086730,0.03367628,0.00113409
alpha_44,-0.39099961,0.03354241,0.00112509
alpha_45,0.15718766,0.02649057,0.00070175
alpha_46,0.16183097,0.02617889,0.00068533
alpha_47,0.87520615,0.02155806,0.00046475
alpha_48,-1.82239304,0.09931018,0.00986251
alpha_49,-1.35578572,0.05855412,0.00342858
alpha_50,-0.72015911,0.04007916,0.00160634
alpha_51,-1.01465167,0.04447297,0.00197784
alpha_52,-0.67525019,0.03845014,0.00147841
alpha_53,-0.37133860,0.03123823,0.00097583
alpha_54,0.25883141,0.02775470,0.00077032
alpha_55,-1.38728133,0.06001293,0.00360155
alpha_56,-0.35522469,0.03214192,0.00103310
alpha_57,-2.29986838,0.16212668,0.02628506
alpha_58,-0.25265900,0.03064999,0.00093942
alpha_59,-1.08263222,0.04805547,0.00230933
alpha_60,-1.59838259,0.07143228,0.00510257
alpha_61,-0.77261687,0.04049282,0.00163967
alpha_62,-0.98730855,0.04886541,0.00238783
alpha_63,-0.69835320,0.03987033,0.00158964
alpha_64,-0.03262499,0.02791653,0.00077933
alpha_65,0.79041353,0.02146807,0.00046088
alpha_66,0.00425504,0.02697857,0.00072784
alpha_67,-0.32760631,0.03091512,0.00095574
alpha_68,-1.75491783,0.09418329,0.00887049
alpha_69,-0.69754070,0.03699421,0.00136857
alpha_70,1.16120084,0.02575010,0.00066307
alpha_71,-0.74001391,0.04177577,0.00174521
alpha_72,-1.88694798,0.10120774,0.01024301
alpha_73,-0.94302086,0.04257762,0.00181285
alpha_74,-0.46284524,0.03395490,0.00115294
alpha_75,-1.40938438,0.06650903,0.00442345
alpha_76,0.19584043,0.02510629,0.00063033
alpha_77,-1.05131007,0.04802678,0.00230657
alpha_78,0.66825244,0.02155668,0.00046469
alpha_79,0.16462228,0.02423801,0.00058748
alpha_80,-1.61485505,0.07550188,0.00570053
alpha_81,-0.17219030,0.02807335,0.00078811
alpha_82,0.21589791,0.02594101,0.00067294
alpha_83,2.26413163,0.02989430,0.00089367
alpha_84,-0.23775110,0.03012377,0.00090744
alpha_85,0.06150477,0.03145400,0.00098935
alpha_86,0.89814571,0.02266223,0.00051358
alpha_87,1.19717098,0.02178745,0.00047469
alpha_88,0.10472545,0.02793977,0.00078063
alpha_89,0.74149134,0.02158035,0.00046571
alpha_90,-0.72168637,0.04199603,0.00176367
alpha_91,-0.67488450,0.03830914,0.00146759
alpha_92,0.64447810,0.02149351,0.00046197
alpha_93,1.32183143,0.01958391,0.00038353
alpha_94,0.14248279,0.02820989,0.00079580
alpha_95,1.16059696,0.01982715,0.00039312
alpha_96,1.16042146,0.02494495,0.00062225
alpha_97,-0.31226522,0.03048765,0.00092950
alpha_98,2.96442991,0.03729251,0.00139073
alpha_99,1.52018053,0.02342675,0.00054881
alpha_100,1.17027234,0.02557141,0.00065390
"beta_1,2",0.83712947,0.01482736,0.00021985
"beta_1,3",1.22620850,0.01550984,0.00024056
"beta_2,1",0.94440749,0.01454119,0.00021145
"beta_2,2",1.59566749,0.01764569,0.00031137
"beta_2,3",1.90063285,0.01978461,0.00039143
"beta_3,1",1.30938914,0.01599026,0.00025569
"beta_3,2",1.94425257,0.02022130,0.00040890
"beta_3,3",2.22599997,0.02251438,0.00050690
