Parameter,Estimate,Std. Err.,Variance
lambda,5.94574524,0.19167820,0.03674053
eta,1.45835963,0.04635482,0.00214877
alpha_2,-0.59615032,0.04240702,0.00179836
alpha_3,-1.20388327,0.03782475,0.00143071
alpha_4,-0.66062603,0.04462218,0.00199114
alpha_5,-1.11994441,0.03734825,0.00139489
alpha_6,-0.30424895,0.04237615,0.00179574
alpha_7,0.00038444,0.02664460,0.00070993
alpha_8,-0.57389002,0.04737778,0.00224465
alpha_9,-0.55945255,0.04574505,0.00209261
alpha_10,-0.70160961,0.04505742,0.00203017
alpha_11,-1.34526241,0.03841995,0.00147609
alpha_12,-0.04362940,0.02690092,0.00072366
alpha_13,0.15114107,0.02154011,0.00046398
alpha_14,-0.55797607,0.04986906,0.00248692
alpha_15,-0.85843900,0.03811862,0.00145303
alpha_16,-0.39865274,0.04906001,0.00240688
alpha_17,-0.60929816,0.04196306,0.00176090
alpha_18,0.12253740,0.02184730,0.00047730
alpha_19,-1.14543521,0.03694975,0.00136528
alpha_20,-0.69714852,0.04109008,0.00168839
alpha_21,-1.26732474,0.03789495,0.00143603
alpha_22,-1.02940568,0.03688739,0.00136068
alpha_23,-0.55390085,0.04870510,0.00237219
alpha_24,-0.63503349,0.04271053,0.00182419
alpha_25,-0.66750709,0.04571851,0.00209018
alpha_26,-0.47465138,0.04835728,0.00233843
alpha_27,-0.00629523,0.02584402,0.00066791
alpha_28,-0.17515157,0.03470146,0.00120419
alpha_29,-0.51465675,0.04865181,0.00236700
alpha_30,0.13281679,0.02178261,0.00047448
alpha_31,-0.29420890,0.04422094,0.00195549
alpha_32,-0.46572969,0.04472862,0.00200065
alpha_33,-0.26512966,0.04085615,0.00166922
alpha_34,0.02370146,0.02549616,0.00065005
alpha_35,-1.50131972,0.03979232,0.00158343
alpha_36,0.15964394,0.02144656,0.00045996
alpha_37,-1.79190537,0.04439016,0.00197049
alpha_38,-1.42395713,0.03917053,0.00153433
alpha_39,-0.70537863,0.04365287,0.00190557
alpha_40,-0.75558020,0.04129728,0.00170547
alpha_41,0.04688168,0.02527953,0.00063905
alpha_42,0.03072807,0.02567583,0.00065925
alpha_43,-0.57249821,0.04869734,0.00237143
alpha_44,-0.79294366,0.04015814,0.00161268
alpha_45,0.15079548,0.02146228,0.00046063
alpha_46,-0.67815149,0.04425580,0.00195858
alpha_47,-0.04505774,0.02837795,0.00080531
alpha_48,-1.14925483,0.03712333,0.00137814
alpha_49,-1.08510946,0.03701901,0.00137041
alpha_50,-0.94402267,0.03814651,0.00145516
alpha_51,-1.34820800,0.03844811,0.00147826
alpha_52,-1.04861704,0.03748834,0.00140538
alpha_53,-0.80385732,0.03980676,0.00158458
alpha_54,-0.17015586,0.03569519,0.00127415
alpha_55,-0.96751040,0.03747068,0.00140405
alpha_56,-0.96869167,0.03726137,0.00138841
alpha_57,-1.21134250,0.03754084,0.00140931
alpha_58,-1.45003381,0.03940267,0.00155257
alpha_59,-0.79242823,0.04155315,0.00172666
alpha_60,-1.29161532,0.03809878,0.00145152
alpha_61,-0.89388874,0.03868853,0.00149680
alpha_62,-0.80578411,0.04063293,0.00165104
alpha_63,-0.86751337,0.03930337,0.00154476
alpha_64,-0.55776695,0.04720182,0.00222801
alpha_65,-0.60783988,0.04782214,0.00228696
alpha_66,0.08276942,0.02447900,0.00059922
alpha_67,-0.59115585,0.04573050,0.00209128
alpha_68,-1.23391900,0.03746154,0.00140337
alpha_69,-1.22971521,0.03746485,0.00140362
alpha_70,-0.33767266,0.04246280,0.00180309
alpha_71,-1.26159544,0.03787384,0.00143443
alpha_72,-0.85371275,0.03825960,0.00146380
alpha_73,-0.97881411,0.03759809,0.00141362
alpha_74,-0.02743913,0.02757439,0.00076035
alpha_75,-0.97030687,0.03879269,0.00150487
alpha_76,-0.71089490,0.04394262,0.00193095
alpha_77,-1.07275164,0.03740152,0.00139887
alpha_78,-0.24722694,0.03912628,0.00153087
alpha_79,-0.52704057,0.05442660,0.00296225
alpha_80,-1.40331619,0.03896126,0.00151798
alpha_81,0.07678241,0.02499440,0.00062472
alpha_82,-0.77176096,0.04067423,0.00165439
alpha_83,0.65188502,0.01417810,0.00020102
alpha_84,-1.33942018,0.03849992,0.00148224
alpha_85,-1.07237083,0.03739877,0.00139867
alpha_86,-0.65273729,0.04589914,0.00210673
alpha_87,0.24239729,0.01938463,0.00037576
alpha_88,0.11379137,0.02215570,0.00049087
alpha_89,0.31586533,0.01785850,0.00031893
alpha_90,-0.96999939,0.03759801,0.00141361
alpha_91,-0.71882327,0.04021370,0.00161714
alpha_92,0.16412040,0.02113106,0.00044652
alpha_93,0.08860865,0.02255309,0.00050864
alpha_94,-0.98970465,0.03684027,0.00135721
alpha_95,-0.75072114,0.03977570,0.00158211
alpha_96,0.03375944,0.02484379,0.00061721
alpha_97,-1.17040843,0.03735221,0.00139519
alpha_98,0.21682971,0.01973834,0.00038960
alpha_99,-0.40706239,0.04204382,0.00176768
alpha_100,-0.51048824,0.04446839,0.00197744
"beta_1,2",0.30139332,0.00822504,0.00006765
"beta_1,3",0.39983625,0.00945937,0.00008948
"beta_2,1",0.33795931,0.00860517,0.00007405
"beta_2,2",0.63033874,0.01200619,0.00014415
"beta_2,3",0.70614901,0.01204075,0.00014498
"beta_3,1",0.46432413,0.01035164,0.00010716
"beta_3,2",0.81624552,0.01212388,0.00014699
"beta_3,3",0.87716812,0.01233602,0.00015218
