Parameter,Estimate,Std. Err.,Variance
lambda,-0.05333530,0.00512057,0.00002622
eta,0.69342071,0.01320158,0.00017428
alpha_2,0.02212761,0.02273075,0.00051669
alpha_3,-0.01310064,0.02302594,0.00053019
alpha_4,0.52349018,0.01717843,0.00029510
alpha_5,0.20025027,0.02006220,0.00040249
alpha_6,0.35059834,0.01850667,0.00034250
alpha_7,0.86634763,0.01584805,0.00025116
alpha_8,0.07206901,0.02145884,0.00046048
alpha_9,0.12414165,0.02065700,0.00042671
alpha_10,0.01074535,0.02236531,0.00050021
alpha_11,0.04058465,0.02186231,0.00047796
alpha_12,0.11940134,0.02075864,0.00043092
alpha_13,0.65964273,0.01635665,0.00026754
alpha_14,0.27752265,0.01913004,0.00036596
alpha_15,0.10858963,0.02110450,0.00044540
alpha_16,0.34350518,0.01849375,0.00034202
alpha_17,-0.03296348,0.02308323,0.00053284
alpha_18,0.37171444,0.01818631,0.00033074
alpha_19,-0.25037882,0.02766786,0.00076551
alpha_20,0.44498155,0.01779106,0.00031652
alpha_21,-2.17431178,0.20500787,0.04202823
alpha_22,-0.71463536,0.04279062,0.00183104
alpha_23,0.51265970,0.01722906,0.00029684
alpha_24,-0.06971294,0.02360924,0.00055740
alpha_25,0.02900960,0.02213002,0.00048974
alpha_26,0.16233135,0.02029081,0.00041172
alpha_27,0.49216091,0.01724656,0.00029744
alpha_28,0.63656828,0.01644119,0.00027031
alpha_29,0.62746893,0.01648613,0.00027179
alpha_30,0.84782592,0.01559073,0.00024307
alpha_31,0.47400186,0.01734969,0.00030101
alpha_32,0.31297601,0.01872852,0.00035076
alpha_33,0.25720782,0.01917310,0.00036761
alpha_34,0.11755855,0.02064565,0.00042624
alpha_35,-0.77828313,0.04477088,0.00200443
alpha_36,0.29757989,0.01866626,0.00034843
alpha_37,-17.82349868,1393550.16434837,1941982060555.37866211
alpha_38,-1.54872751,0.10695265,0.01143887
alpha_39,0.04880260,0.02167179,0.00046967
alpha_40,-0.35577069,0.03060921,0.00093692
alpha_41,0.56706401,0.01664702,0.00027712
alpha_42,0.87263305,0.01626663,0.00026460
alpha_43,0.41043759,0.01746027,0.00030486
alpha_44,-0.25400758,0.02737919,0.00074962
alpha_45,0.88301920,0.01558995,0.00024305
alpha_46,-0.02608488,0.02291836,0.00052525
alpha_47,0.56034601,0.01698940,0.00028864
alpha_48,-1.07380256,0.06275129,0.00393772
alpha_49,-1.50982339,0.10071423,0.01014336
alpha_50,-0.66311794,0.04085771,0.00166935
alpha_51,-87.62495829,0.00004466,0.00000000
alpha_52,-1.21204801,0.07210681,0.00519939
alpha_53,0.20983634,0.01981805,0.00039276
alpha_54,0.56139302,0.01683394,0.00028338
alpha_55,-0.34054832,0.02983639,0.00089021
alpha_56,-0.02140352,0.02306526,0.00053201
alpha_57,-1.24732894,0.07474686,0.00558709
alpha_58,-0.75498166,0.04437037,0.00196873
alpha_59,-1.14265771,0.06711466,0.00450438
alpha_60,-0.31326012,0.02948306,0.00086925
alpha_61,-0.20837207,0.02630908,0.00069217
alpha_62,-0.23238925,0.02699518,0.00072874
alpha_63,-0.26648547,0.02779910,0.00077279
alpha_64,0.40130776,0.01799960,0.00032399
alpha_65,0.41034500,0.01769776,0.00031321
alpha_66,0.64661301,0.01618912,0.00026209
alpha_67,0.18203863,0.01996410,0.00039857
alpha_68,-1.26931240,0.07780891,0.00605423
alpha_69,0.10794203,0.02117936,0.00044857
alpha_70,0.84562411,0.01577270,0.00024878
alpha_71,-0.67176133,0.04069709,0.00165625
alpha_72,-1.08956375,0.06303632,0.00397358
alpha_73,-0.42254301,0.03185087,0.00101448
alpha_74,0.67374273,0.01652419,0.00027305
alpha_75,-0.06099464,0.02350498,0.00055248
alpha_76,0.31984599,0.01862032,0.00034672
alpha_77,-0.71712935,0.04235349,0.00179382
alpha_78,0.33106815,0.01844377,0.00034017
alpha_79,0.40268271,0.01785056,0.00031864
alpha_80,-1.30098725,0.07776541,0.00604746
alpha_81,0.07648423,0.02152834,0.00046347
alpha_82,-0.37059081,0.03032974,0.00091989
alpha_83,1.64559602,0.02227424,0.00049614
alpha_84,0.08967360,0.02124817,0.00045148
alpha_85,0.41645178,0.01766822,0.00031217
alpha_86,0.52443850,0.01716686,0.00029470
alpha_87,0.96904472,0.01609392,0.00025901
alpha_88,0.81258379,0.01627022,0.00026472
alpha_89,1.23349546,0.01782246,0.00031764
alpha_90,-0.83853195,0.04777153,0.00228212
alpha_91,-0.53801652,0.03604475,0.00129922
alpha_92,0.80342619,0.01592153,0.00025350
alpha_93,1.17068281,0.01687578,0.00028479
alpha_94,-0.10715328,0.02434269,0.00059257
alpha_95,0.97842883,0.01605388,0.00025773
alpha_96,0.82880772,0.01602929,0.00025694
alpha_97,-0.24706555,0.02739640,0.00075056
alpha_98,1.83416053,0.02795521,0.00078149
alpha_99,0.74007878,0.01598360,0.00025548
alpha_100,0.74183748,0.01626007,0.00026439
"beta_1,2",0.48155461,0.00909183,0.00008266
"beta_1,3",0.62944175,0.00917743,0.00008423
"beta_2,1",0.52584759,0.00909529,0.00008272
"beta_2,2",0.83037962,0.00956856,0.00009156
"beta_2,3",0.95407387,0.00995416,0.00009909
"beta_3,1",0.66537817,0.00919448,0.00008454
"beta_3,2",0.99260441,0.01011448,0.00010230
"beta_3,3",1.12286347,0.01073998,0.00011535
