index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,1.6185887215058736
1,1,3,1.8765626956761892
1,2,1,1.6918922717862466
1,2,2,2.2941894951918975
1,2,3,2.596264990250275
1,3,1,1.9452260083780868
1,3,2,2.6982526855066418
1,3,3,3.0736428984357334
2,1,1,1.022374241323397
2,1,2,1.6548034161641745
2,1,3,1.9185493622877325
2,2,1,1.7297470777683823
2,2,2,2.3455202445989234
2,2,3,2.6543544496816214
2,3,1,1.9887489645180862
2,3,2,2.758624042243672
2,3,3,3.1424133263872798
3,1,1,0.9869847998715676
3,1,2,1.5975224653698512
3,1,3,1.8521388566384132
3,2,1,1.6698719552732004
3,2,2,2.264330159779428
3,2,3,2.5624740818157252
3,3,1,1.9199085025840144
3,3,2,2.663134386807693
3,3,3,3.0336388209892573
4,1,1,1.6879084855794875
4,1,2,2.7320296376930173
4,1,3,3.1674660977537568
4,2,1,2.8557593222343622
4,2,2,3.8723819164617246
4,2,3,4.382257707856384
4,3,1,3.2833634859112872
4,3,2,4.554403604104301
4,3,3,5.188027929910804
5,1,1,1.2217084768829714
5,1,2,1.9774435616508967
5,1,3,2.2926125527099597
5,2,1,2.0669991304140454
5,2,2,2.8028307538518056
5,2,3,3.1718789468232456
5,3,1,2.3764991038887344
5,3,2,3.2964781786557062
5,3,3,3.7550955839300806
6,1,1,1.4199168875416763
6,1,2,2.298261459650681
6,1,3,2.6645630621213527
6,2,1,2.4023464086105433
6,2,2,3.2575584074436885
6,2,3,3.6864805041895914
6,3,1,2.762059259381332
6,3,2,3.8312945550055613
6,3,3,4.364317457761443
7,1,1,2.3782088730299984
7,1,2,3.84934205927155
7,1,3,4.462858053654206
7,2,1,4.023673212972933
7,2,2,5.456061813877583
7,2,3,6.174460436550347
7,3,1,4.626153753173492
7,3,2,6.417008478348919
7,3,3,7.3097648135855025
8,1,1,1.074729508588125
8,1,2,1.739545061270289
8,1,3,2.016797303758878
8,2,1,1.8183265498408792
8,2,2,2.4656331487756264
8,2,3,2.790282597136231
8,3,1,2.090591792077021
8,3,2,2.899891782741142
8,3,3,3.3033347218112157
9,1,1,1.1321762324046305
9,1,2,1.8325276805271478
9,1,3,2.1245996826617453
9,2,1,1.9155202179054638
9,2,2,2.597426819088644
9,2,3,2.9394295149856013
9,3,1,2.2023386533410005
