Parameter,Estimate,Std. Err.,Variance
lambda,2.20876166,0.26123780,0.06824519
eta,5.35823706,0.08147656,0.00663843
alpha_2,0.47448169,0.04867114,0.00236888
alpha_3,0.75224382,0.03995539,0.00159643
alpha_4,-0.51991092,0.12364214,0.01528738
alpha_5,-0.85415078,0.10805650,0.01167621
alpha_6,0.63325335,0.04256518,0.00181179
alpha_7,-1.80562690,0.10582631,0.01119921
alpha_8,-1.92113681,0.11598413,0.01345232
alpha_9,-0.21233170,0.11794432,0.01391086
alpha_10,-0.39971669,0.13041345,0.01700767
alpha_11,-0.31746424,0.12694458,0.01611493
alpha_12,-0.32489741,0.13157853,0.01731291
alpha_13,0.13601020,0.07733366,0.00598050
alpha_14,0.40205105,0.04964761,0.00246489
alpha_15,-0.49793311,0.12241103,0.01498446
alpha_16,0.11701233,0.08766816,0.00768571
alpha_17,-0.04908108,0.09749540,0.00950535
alpha_18,-0.79940080,0.11224395,0.01259870
alpha_19,0.08377916,0.07580614,0.00574657
alpha_20,-0.50509514,0.12795670,0.01637292
alpha_21,-29.18383763,0.00000000,0.00000000
alpha_22,-2.94843437,0.17363393,0.03014874
alpha_23,-1.21577137,0.10556843,0.01114469
alpha_24,-0.32203199,0.12490274,0.01560069
alpha_25,-0.23481123,0.11844500,0.01402922
alpha_26,-0.94800705,0.10778837,0.01161833
alpha_27,-0.33782247,0.12687808,0.01609805
alpha_28,-0.66377337,0.12448863,0.01549742
alpha_29,0.12628335,0.07485458,0.00560321
alpha_30,-0.25697452,0.12692483,0.01610991
alpha_31,0.71710699,0.04064410,0.00165194
alpha_32,-1.26332846,0.10348034,0.01070818
alpha_33,-1.25656209,0.10583895,0.01120188
alpha_34,-1.37067358,0.10064620,0.01012966
alpha_35,-2.94215323,0.17013814,0.02894699
alpha_36,0.22208724,0.06080085,0.00369674
alpha_37,-0.21382800,0.12241772,0.01498610
alpha_38,0.26816079,0.05859298,0.00343314
alpha_39,0.57921929,0.04308166,0.00185603
alpha_40,0.32667905,0.05611777,0.00314920
alpha_41,-0.31205179,0.11519734,0.01327043
alpha_42,-0.33277839,0.12856641,0.01652932
alpha_43,-0.72858354,0.11823612,0.01397978
alpha_44,0.43274737,0.05071345,0.00257185
alpha_45,-0.44414104,0.13558047,0.01838206
alpha_46,0.11497109,0.07149793,0.00511195
alpha_47,-0.48105147,0.13324430,0.01775404
alpha_48,-0.62883143,0.11562856,0.01336996
alpha_49,-0.24095696,0.10987901,0.01207340
alpha_50,-0.00010046,0.10498859,0.01102260
"beta_1,2",0.17524053,0.04259654,0.00181447
"beta_1,3",0.18955921,0.04097565,0.00167900
"beta_2,1",0.25977051,0.03953208,0.00156279
"beta_2,2",0.50165426,0.03450886,0.00119086
"beta_2,3",0.44700382,0.03551234,0.00126113
"beta_3,1",0.40139408,0.03670042,0.00134692
"beta_3,2",0.56874986,0.03425741,0.00117357
"beta_3,3",0.77326522,0.03395090,0.00115266
