Parameter,Estimate,Std. Err.,Variance
lambda,0.39515732,0.01819498,0.00033106
eta,0.50181502,0.04345867,0.00188866
alpha_2,0.31391353,0.02414923,0.00058319
alpha_3,-0.68208295,0.03565010,0.00127093
alpha_4,-0.17195635,0.02701224,0.00072966
alpha_5,0.07451223,0.02523478,0.00063679
alpha_6,-0.23212940,0.02765486,0.00076479
alpha_7,-0.89287098,0.04127920,0.00170397
alpha_8,-0.89828885,0.04197044,0.00176152
alpha_9,0.30982901,0.02423968,0.00058756
alpha_10,-0.22447583,0.02765071,0.00076456
alpha_11,0.14421271,0.02470334,0.00061025
alpha_12,0.27432552,0.02416016,0.00058371
alpha_13,-0.02322088,0.02581046,0.00066618
alpha_14,-0.19734244,0.02727808,0.00074409
alpha_15,0.09331767,0.02513943,0.00063199
alpha_16,-0.14206730,0.02717561,0.00073851
alpha_17,-0.26259343,0.02801547,0.00078487
alpha_18,0.07605420,0.02503981,0.00062699
alpha_19,0.21614507,0.02417979,0.00058466
alpha_20,-0.85128719,0.03938399,0.00155110
alpha_21,-1.10582691,0.04783422,0.00228811
alpha_22,-0.96138502,0.04307528,0.00185548
alpha_23,-0.27007804,0.02782797,0.00077440
alpha_24,-0.25944566,0.02817038,0.00079357
alpha_25,-0.03110764,0.02603440,0.00067779
alpha_26,-0.78154741,0.03827741,0.00146516
alpha_27,-0.65200308,0.03499046,0.00122433
alpha_28,-0.31108060,0.02903703,0.00084315
alpha_29,0.05217261,0.02516195,0.00063312
alpha_30,-0.42058685,0.03006275,0.00090377
alpha_31,0.20204520,0.02473950,0.00061204
alpha_32,-0.40693317,0.03020884,0.00091257
alpha_33,-0.84378291,0.03981354,0.00158512
alpha_34,-0.75148209,0.03829399,0.00146643
alpha_35,-0.11579493,0.02659749,0.00070743
alpha_36,0.08618496,0.02512765,0.00063140
alpha_37,-0.06495841,0.02586416,0.00066895
alpha_38,0.11262312,0.02475670,0.00061289
alpha_39,0.30662723,0.02415476,0.00058345
alpha_40,0.37662618,0.02411198,0.00058139
alpha_41,-0.07622737,0.02670995,0.00071342
alpha_42,0.04950207,0.02485395,0.00061772
alpha_43,0.22349618,0.02495401,0.00062270
alpha_44,0.23860999,0.02433349,0.00059212
alpha_45,-0.17024235,0.02678394,0.00071738
alpha_46,-0.07301863,0.02671937,0.00071392
alpha_47,0.22349495,0.02375038,0.00056408
alpha_48,0.09163693,0.02494594,0.00062230
alpha_49,-0.00565369,0.02637225,0.00069550
alpha_50,-0.14888911,0.02645591,0.00069992
"beta_1,2",0.90399104,0.02157442,0.00046546
"beta_1,3",1.14699896,0.02079911,0.00043260
"beta_2,1",0.95502456,0.02146070,0.00046056
"beta_2,2",1.50633939,0.02023754,0.00040956
"beta_2,3",1.69198795,0.02031735,0.00041279
"beta_3,1",1.21129503,0.02065692,0.00042671
"beta_3,2",1.73833310,0.02034601,0.00041396
"beta_3,3",1.90524090,0.02092658,0.00043792
