index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,2.4694391004150247
1,1,3,3.148729253947449
1,2,1,2.5987344070527953
1,2,2,4.51019049057201
1,2,3,5.4302650776440355
1,3,1,3.357830329061996
1,3,2,5.6878544317173905
1,3,3,6.721026527921155
2,1,1,1.3687713737693448
2,1,2,3.3800975499148085
2,1,3,4.309890466553374
2,2,1,3.5570732644033187
2,2,2,6.173419633741686
2,2,3,7.432791390258525
2,3,1,4.59610203239456
2,3,2,7.785372324301869
2,3,3,9.199548713762846
3,1,1,0.5055628327633519
3,1,2,1.2484566269424033
3,1,3,1.591880481230508
3,2,1,1.313823528429201
3,2,2,2.2801846807159176
3,2,3,2.7453401953096215
3,3,1,1.697594213099281
3,3,2,2.875567798844629
3,3,3,3.397901210533455
4,1,1,0.8420159263615413
4,1,2,2.0793070517293684
4,1,3,2.6512801796242464
4,2,1,2.18817575912217
4,2,2,3.7976522239860055
4,2,3,4.572369679741169
4,3,1,2.8273466150900157
4,3,2,4.7892640183321165
4,3,3,5.659211378008024
5,1,1,1.0773585195363775
5,1,2,2.6604712533083745
5,1,3,3.3923102874537063
5,2,1,2.7997686534506454
5,2,2,4.859092149749709
5,2,3,5.85034234474067
5,3,1,3.6175871121725796
5,3,2,6.127858429893472
5,3,3,7.240955189885855
6,1,1,0.7928435227167291
6,1,2,1.9578787955074788
6,1,3,2.496449593780914
6,2,1,2.0603897418929087
6,2,2,3.575875316668605
6,2,3,4.30535049344493
6,3,1,2.6622340267785867
6,3,2,4.509578544342776
6,3,3,5.328722348669595
7,1,1,0.4094784591012278
7,1,2,1.0111821176822666
7,1,3,1.2893368030333603
7,2,1,1.0641257606133216
7,2,2,1.8468258523324377
7,2,3,2.223576576504889
7,3,1,1.3749591890676751
7,3,2,2.329053868291727
7,3,3,2.7521155862316298
8,1,1,0.407265956978475
8,1,2,1.0057184784305895
8,1,3,1.2823702328750275
8,2,1,1.0583760552212464
8,2,2,1.8368470462980275
8,2,3,2.2115621034934914
8,3,1,1.3675299823367815
8,3,2,2.3164694782876434
8,3,3,2.737245300771526
9,1,1,1.3631920020024018
9,1,2,3.366319631117768
9,1,3,4.292322535452152
9,2,1,3.542573959022825
9,2,2,6.148255604255054
9,2,3,7.4024939225973005
9,3,1,4.577367448658407
9,3,2,7.753637669871062
9,3,3,9.162049608108092
10,1,1,0.7989348867227715
10,1,2,1.9729210479588601
10,1,3,2.5156296498231816
10,2,1,2.0762195791212936
10,2,2,3.6033485286832696
10,2,3,4.33842821468216
10,3,1,2.6826877935834323
10,3,2,4.544225336099747
10,3,3,5.369662567745429
11,1,1,1.1551297900521704
11,1,2,2.852522669609028
11,1,3,3.637190962043444
11,2,1,3.001875530020247
11,2,2,5.209855394469741
11,2,3,6.272660959066588
11,3,1,3.878729843040194
11,3,2,6.570210095557016
11,3,3,7.7636579621326325
12,1,1,1.3156430006509416
12,1,2,3.248900267994785
12,1,3,4.142603603900824
12,2,1,3.4190067331897858
12,2,2,5.933800550523503
12,2,3,7.144290241081618
12,3,1,4.4177059698038645
12,3,2,7.483185871810424
12,3,3,8.842471508648769
13,1,1,0.9770466498734346
13,1,2,2.412757200126968
13,1,3,3.076455368927834
13,2,1,2.5390847463217603
13,2,2,4.406666509104405
13,2,3,5.305622302036812
13,3,1,3.280756873853436
13,3,2,5.557299117477245
13,3,3,6.566756452815847
14,1,1,0.8209094729352137
14,1,2,2.027185950367306
14,1,3,2.584821672273689
14,2,1,2.133325692392315
14,2,2,3.7024580984528823
14,2,3,4.4577560427872625
14,3,1,2.7564747256361586
14,3,2,4.669213583673342
14,3,3,5.517354344619345
15,1,1,1.097810421318141
15,1,2,2.7109759792461094
15,1,3,3.456707788892805
15,2,1,2.852917714300579
15,2,2,4.951334122679932
15,2,3,5.961401592757587
15,3,1,3.6862611282623825
15,3,2,6.244185870079924
15,3,3,7.378412964307526
16,1,1,0.8675628675401625
16,1,2,2.1423936671718584
16,1,3,2.731720580662246
16,2,1,2.2545654741580075
16,2,2,3.9128737951530264
16,2,3,4.711096342264063
16,3,1,2.9131289089943535
16,3,2,4.93457130093176
16,3,3,5.8309130473767805
17,1,1,0.7690545082491584
17,1,2,1.899133273020921
17,1,3,2.421544428004295
17,2,1,1.998568411486156
17,2,2,3.4685823298368885
17,2,3,4.176169838950112
17,3,1,2.5823545525008833
17,3,2,4.374270092977214
17,3,3,5.1688357513599525
18,1,1,1.0790210555136337
18,1,2,2.664576784656458
18,1,3,3.3975451631210327
18,2,1,2.804089142897704
18,2,2,4.866590503704564
18,2,3,5.8593703557982915
18,3,1,3.6231696259001667
18,3,2,6.137314692519597
18,3,3,7.2521291382926165
19,1,1,1.2412824387831138
19,1,2,3.0652713889895407
19,1,3,3.9084623274076247
19,2,1,3.2257633825360834
19,2,2,5.598420251513634
19,2,3,6.740492678816764
19,3,1,4.168015819877981
19,3,2,7.0602338204455055
19,3,3,8.342692199703976
20,1,1,0.4268651216535417
20,1,2,1.054117422014672
20,1,3,1.3440826960403434
20,2,1,1.109309078811836
20,2,2,1.925243012438668
20,2,3,2.3179907629795005
20,3,1,1.4333406519070009
20,3,2,2.42794667394268
20,3,3,2.8689718064777447
21,1,1,0.3309371138578533
21,1,2,0.8172290487390819
21,1,3,1.0420313716211604
21,2,1,0.8600176643531519
21,2,2,1.4925894238990367
21,2,3,1.797076252278609
21,3,1,1.111230677924143
21,3,2,1.8823221296761536
21,3,3,2.224237121312296
22,1,1,0.3823629387486482
22,1,2,0.9442219914955069
22,1,3,1.2039573708631852
22,2,1,0.9936597249079325
22,2,2,1.724529690291321
22,2,3,2.0763321132721297
22,3,1,1.2839098724394853
22,3,2,2.174824735685984
22,3,3,2.569871454623556
23,1,1,0.7633199225256374
23,1,2,1.8849720628105764
23,1,3,2.403487770177375
23,2,1,1.9836657462562481
23,2,2,3.4427182558392935
23,2,3,4.14502951836092
23,3,1,2.5630987866338386
23,3,2,4.341652604155622
23,3,3,5.13029344858553
24,1,1,0.7714791290308485
24,1,2,1.9051207263829053
24,1,3,2.4291789023893315
24,2,1,2.0048693569355893
24,2,2,3.4795178314297104
24,2,3,4.189336172507454
24,3,1,2.590496017698116
