Parameter,Estimate,Std. Err.,Variance
lambda,0.22635415,0.02034250,0.00041382
eta,0.78990203,0.03801497,0.00144514
alpha_2,0.73466699,0.02617444,0.00068510
alpha_3,0.68720243,0.02664344,0.00070987
alpha_4,0.55470979,0.02858078,0.00081686
alpha_5,0.53109520,0.02889962,0.00083519
alpha_6,0.37069487,0.03167667,0.00100341
alpha_7,-4.58059495,4.02001079,16.16048678
alpha_8,-98.60095434,0.00002220,0.00000000
alpha_9,0.76821760,0.02558676,0.00065468
alpha_10,0.21733991,0.03457043,0.00119511
alpha_11,0.63588781,0.02744854,0.00075342
alpha_12,0.49855107,0.02953020,0.00087203
alpha_13,0.43241439,0.03053048,0.00093211
alpha_14,0.62963194,0.02751438,0.00075704
alpha_15,0.30827248,0.03272982,0.00107124
alpha_16,0.12525989,0.03663194,0.00134190
alpha_17,0.46242917,0.03006453,0.00090388
alpha_18,-0.07043767,0.04180346,0.00174753
alpha_19,0.30995370,0.03280047,0.00107587
alpha_20,-0.07158302,0.04137474,0.00171187
alpha_21,-144.51104134,0.00016191,0.00000003
alpha_22,-15.43974016,211810.67001083,44863759930.43585205
alpha_23,-0.11606721,0.04276799,0.00182910
alpha_24,0.25613144,0.03400474,0.00115632
alpha_25,0.10433664,0.03685182,0.00135806
alpha_26,-109.94595473,0.00017749,0.00000003
alpha_27,0.13023942,0.03637662,0.00132326
alpha_28,-0.25502274,0.04799201,0.00230323
alpha_29,0.36333094,0.03169902,0.00100483
alpha_30,0.23069740,0.03403769,0.00115856
alpha_31,0.40710270,0.03116047,0.00097097
alpha_32,-0.32076155,0.05062368,0.00256276
alpha_33,-2.54204368,0.50291156,0.25292003
alpha_34,0.02626774,0.03925616,0.00154105
alpha_35,0.07925509,0.03737278,0.00139672
alpha_36,0.47016193,0.03000970,0.00090058
alpha_37,0.34298468,0.03196325,0.00102165
alpha_38,0.60060783,0.02784235,0.00077520
alpha_39,0.97025952,0.02423608,0.00058739
alpha_40,1.03443046,0.02377812,0.00056540
alpha_41,0.47520075,0.03003349,0.00090201
alpha_42,0.49498359,0.02953386,0.00087225
alpha_43,-0.20340897,0.04596444,0.00211273
alpha_44,0.44297683,0.03042328,0.00092558
alpha_45,0.24359032,0.03386527,0.00114686
alpha_46,0.60553852,0.02785327,0.00077580
alpha_47,0.56345001,0.02843350,0.00080846
alpha_48,-0.00322894,0.03966650,0.00157343
alpha_49,0.50654559,0.02941444,0.00086521
alpha_50,0.81285879,0.02520653,0.00063537
"beta_1,2",0.25453010,0.01782256,0.00031764
"beta_1,3",0.35034340,0.01722204,0.00029660
"beta_2,1",0.35283547,0.01717891,0.00029511
"beta_2,2",0.48364492,0.01678539,0.00028175
"beta_2,3",0.56290943,0.01666986,0.00027788
"beta_3,1",0.45118590,0.01685270,0.00028401
"beta_3,2",0.61192674,0.01675427,0.00028071
"beta_3,3",0.65697686,0.01672052,0.00027958
