index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,1.2898553754057696
1,1,3,1.4195549400697711
1,2,1,1.4230969820243893
1,2,2,1.6219756122889388
1,2,3,1.7557733761110488
1,3,1,1.570173150151839
1,3,2,1.8439808499116008
1,3,3,1.9289520187981337
2,1,1,2.08478762176932
2,1,2,2.6890745205185675
2,1,3,2.959470567478948
2,2,1,2.9668549727017233
2,2,2,3.381474679311693
2,2,3,3.660414601148443
2,3,1,3.273477547471094
2,3,2,3.8443084506753755
2,3,3,4.02145529177729
3,1,1,1.9881457690140034
3,1,2,2.5644205072529496
3,1,3,2.8222821479826425
3,2,1,2.829324243708387
3,2,2,3.2247239510161516
3,2,3,3.490733409062614
3,3,1,3.1217331050937682
3,3,2,3.6661027248945954
3,3,3,3.8350377948045304
4,1,1,1.7414355294285295
4,1,2,2.246199978555981
4,1,3,2.4720634086132867
4,2,1,2.478231646319785
4,2,2,2.8245659591065513
4,2,3,3.0575661387844604
4,3,1,2.73435531102913
4,3,2,3.211173767621878
4,3,3,3.359145580097959
5,1,1,1.700793998558275
5,1,2,2.1937782814982634
5,1,3,2.4143705226944188
5,2,1,2.4203948063934746
5,2,2,2.7586463871889104
5,2,3,2.986208820918073
5,3,1,2.670541070475589
5,3,2,3.1362315629860382
5,3,3,3.280750017078735
6,1,1,1.448740951611201
6,1,2,1.8686663040061775
6,1,3,2.0565673747410615
6,2,1,2.061698875973042
6,2,2,2.349822492037638
6,2,3,2.543660791720732
6,3,1,2.2747741437453324
6,3,2,2.671450571253764
6,3,3,2.794551783325956
7,1,1,0.010248796960432358
7,1,2,0.013219465850855991
7,1,3,0.014548730354953805
7,2,1,0.014585032023772017
7,2,2,0.016623298725122283
7,2,3,0.01799456484029498
7,3,1,0.01609238580862866
7,3,2,0.01889858532966949
7,3,3,0.01976943758707817
8,1,1,1.5071262001069723e-43
8,1,2,1.943974830622843e-43
8,1,3,2.1394484426704347e-43
8,2,1,2.144786746902123e-43
8,2,2,2.444521941215216e-43
8,2,3,2.6461720565872474e-43
8,3,1,2.3664490932983325e-43
8,3,2,2.7791118513972995e-43
8,3,3,2.9071741262799055e-43
9,1,1,2.1559201151112037
9,1,2,2.7808251494216116
9,1,3,3.060447049801899
9,2,1,3.068083409300428
9,2,2,3.496849848753534
9,2,3,3.785307139134519
9,3,1,3.385167878619874
9,3,2,3.975475406204274
9,3,3,4.158666458411261
10,1,1,1.2427664590991325
10,1,2,1.6029889976430103
10,1,3,1.7641752663671908
10,2,1,1.768577197305112
10,2,2,2.0157368884294717
10,2,3,2.1820162616100576
10,3,1,1.9513585259867314
10,3,2,2.2916375514912493
10,3,3,2.39723687017388
11,1,1,1.8886982024879273
11,1,2,2.4361475289982675
11,1,3,2.681110863642634
11,2,1,2.6878007119154583
11,2,2,3.063422423409374
11,2,3,3.316126019437098
11,3,1,2.965583206286585
11,3,2,3.4827233166502016
11,3,3,3.6432082105894943
12,1,1,1.646334118814995
12,1,2,2.123532912867442
12,1,3,2.3370617313692397
12,2,1,2.3428931158894017
12,2,2,2.6703137903971217
12,2,3,2.890589613998612
12,3,1,2.5850296295421926
12,3,2,3.0358085876509406
12,3,3,3.1756995221044306
13,1,1,1.5409735469002268
13,1,2,1.987633012827352
13,1,3,2.1874966110190543
13,2,1,2.1929548039731315
13,2,2,2.4994215122545533
13,2,3,2.705600326938829
13,3,1,2.419595288436982
13,3,2,2.8415257107043748
13,3,3,2.9724640342077135
14,1,1,1.876919633077166
14,1,2,2.420954877929207
14,1,3,2.664390537248633
14,2,1,2.671038665334439
14,2,2,3.044317871077467
14,2,3,3.295445520857007
14,3,1,2.9470888128506076
14,3,2,3.461003860217403
14,3,3,3.620487915346052
15,1,1,1.3610718032600648
15,1,2,1.7555857817482186
15,1,3,1.9321162021074967
15,2,1,1.9369371755378917
15,2,2,2.2076252714619535
15,2,3,2.389733635139477
15,3,1,2.1371184009077
15,3,2,2.5097903405662096
15,3,3,2.625442202627718
16,1,1,1.1334429852896257
16,1,2,1.4619775272917863
16,1,3,1.6089845890553172
16,2,1,1.6129992916623808
16,2,2,1.8384168800597434
16,2,3,1.990069016911352
16,3,1,1.7797017427297162
16,3,2,2.090047159340706
16,3,3,2.186357134667007
17,1,1,1.587926647488182
17,1,2,2.048195722012694
17,1,3,2.2541491169102787
17,2,1,2.259773619716538
17,2,2,2.5755782963295655
17,2,3,2.788039330877024
17,3,1,2.4933197862965675
17,3,2,2.9281063290325364
17,3,3,3.063034312375681
18,1,1,0.9319858283921256
18,1,2,1.2021269305535822
18,1,3,1.32300508676906
18,2,1,1.3263062196743345
18,2,2,1.5116582846509319
18,2,3,1.636355904403695
18,3,1,1.4633791240633351
18,3,2,1.7185640199440793
18,3,3,1.7977559451682419
19,1,1,1.3633619890107513
19,1,2,1.758539790149419
19,1,3,1.935367246603561
19,2,1,1.9401963319679687
19,2,2,2.211339896897179
19,2,3,2.393754682306881
19,3,1,2.140714389082288
19,3,2,2.514013399233216
19,3,3,2.629859861054928
20,1,1,0.9309189894921694
20,1,2,1.2007508626637817
20,1,3,1.3214906503383685
20,2,1,1.3247880044555005
20,2,2,1.5099278979729616
20,2,3,1.6344827770665522
20,3,1,1.4617040022670864
20,3,2,1.7165967894426193
20,3,3,1.795698064118439
21,1,1,1.7364095748513035e-63
21,1,2,2.2397172240280248e-63
21,1,3,2.4649287899646536e-63
21,2,1,2.4710792255291487e-63
21,2,2,2.816413983353788e-63
21,2,3,3.048741701548195e-63
21,3,1,2.726463692098122e-63
21,3,2,3.201906003628952e-63
21,3,3,3.3494507548697846e-63
22,1,1,1.9706343400774403e-07
22,1,2,2.541833296508088e-07
22,1,3,2.797423712528063e-07
22,2,1,2.8044037820378303e-07
22,2,2,3.196320840344714e-07
22,2,3,3.4599873083581336e-07
22,3,1,3.0942371295567863e-07
22,3,2,3.633811985280983e-07
22,3,3,3.8012590886053077e-07
23,1,1,0.89041537646889
23,1,2,1.1485070596823497
23,1,3,1.2639935463804979
23,2,1,1.2671474350009877
23,2,2,1.4442320254396137
23,2,3,1.5633676116839734
23,3,1,1.3981063166137926
23,3,2,1.6419089026754619
23,3,3,1.7175685380085657
24,1,1,1.2919225270772192
24,1,2,1.666393216158357
24,1,3,1.8339550054998892
24,2,1,1.838531049292913
24,2,2,2.095466831885946
24,2,3,2.268323177040287
24,3,1,2.028542064092962
24,3,2,2.382280399499794
24,3,3,2.4920565667363888
25,1,1,1.1099740536933433
25,1,2,1.4317059997172912
25,1,3,1.575669151269655
25,2,1,1.5796007259363745
25,2,2,1.800350845364096
25,2,3,1.948862891648828
25,3,1,1.7428514564744835
25,3,2,2.0467708989092763
25,3,3,2.141086691685323
26,1,1,1.7827011850297484e-48
26,1,2,2.2994267062528486e-48
26,1,3,2.530642273877214e-48
26,2,1,2.536956676267143e-48
26,2,2,2.8914978461168524e-48
26,2,3,3.1300192782368635e-48
26,3,1,2.799149535477573e-48
26,3,2,3.287266846309578e-48
26,3,3,3.43874504977696e-48
27,1,1,1.1391010742586865
27,1,2,1.4692756437630534
27,1,3,1.6170165572027018
27,2,1,1.6210513009982765
27,2,2,1.847594162379721
27,2,3,2.0000033388828964
27,3,1,1.7885859221101057
27,3,2,2.1004805670467506
27,3,3,2.1972713168064164
28,1,1,0.7748988765602733
28,1,2,0.9995074813271604
28,1,3,1.1000115282756517
28,2,1,1.1027562526070147
28,2,2,1.25686707977086
28,2,3,1.36054681664289
28,3,1,1.2167254100577656
28,3,2,1.4288986889951576
28,3,3,1.4947427523053451
29,1,1,1.4381117091870144
29,1,2,1.8549561185288492
29,1,3,2.0414785811486085
29,2,1,2.0465724331579764
29,2,2,2.3325821200485
29,2,3,2.524998250864115
29,3,1,2.25808439268442
29,3,2,2.6518504517744956
29,3,3,2.774048484693526
30,1,1,1.2594780637181708
30,1,2,1.624544550692533
30,1,3,1.7878983072606394
30,2,1,1.7923594314032503
30,2,2,2.042842703563767
30,2,3,2.2113580520722596
30,3,1,1.977598638855499
30,3,2,2.32245343038005
30,3,3,2.4294727536411305
31,1,1,1.5024584002164916
31,1,2,1.9379540438427947
31,1,3,2.132822244276646
31,2,1,2.1381440149652815
31,2,2,2.4369508836298035
31,2,3,2.637976457814515
31,3,1,2.359119839240021
31,3,2,2.7705045177880305
31,3,3,2.898170164257816
32,1,1,0.7255962487891827
32,1,2,0.9359142218749893
32,1,3,1.0300237394647789
32,2,1,1.0325938318201038
32,2,2,1.1768994199043916
32,2,3,1.2739825754300957
32,3,1,1.1393117476996684
32,3,2,1.3379855875349465
32,3,3,1.3996403489342468
33,1,1,0.07870538669241606
33,1,2,0.10151856609860258
33,1,3,0.11172662048932082
33,2,1,0.11200539827103982
33,2,2,0.12765821777086925
33,2,3,0.13818882251106893
33,3,1,0.12358108495674955
33,3,2,0.14513122584570254
33,3,3,0.1518189145506237
34,1,1,1.026615777788745
34,1,2,1.3241858794571877
34,1,3,1.4573374989135834
34,2,1,1.4609738150697842
34,2,2,1.6651457547643849
