Parameter,Estimate,Std. Err.,Variance
lambda,0.25919545,0.02296262,0.00052728
eta,0.32297869,0.03548890,0.00125946
alpha_2,0.40263413,0.02944442,0.00086697
alpha_3,0.27159130,0.03106868,0.00096526
alpha_4,0.32466185,0.03038481,0.00092324
alpha_5,0.17312847,0.03267788,0.00106784
alpha_6,0.13614527,0.03344808,0.00111877
alpha_7,-2.55841109,0.48706838,0.23723560
alpha_8,-1617.50252760,0.00000000,0.00000000
alpha_9,0.52508944,0.02807928,0.00078845
alpha_10,0.01487825,0.03608131,0.00130186
alpha_11,0.28136500,0.03104698,0.00096391
alpha_12,0.33094008,0.03030256,0.00091824
alpha_13,0.18271950,0.03247957,0.00105492
alpha_14,0.50490918,0.02840185,0.00080667
alpha_15,0.04399976,0.03526378,0.00124353
alpha_16,-0.04042182,0.03743956,0.00140172
alpha_17,0.30173820,0.03062684,0.00093800
alpha_18,-0.25603594,0.04427163,0.00195998
alpha_19,0.00630292,0.03634973,0.00132130
alpha_20,-0.18676727,0.04138093,0.00171238
alpha_21,-151.82454136,0.00000000,0.00000000
alpha_22,-6.52580668,27.17521049,738.49206499
alpha_23,-0.40721495,0.04985500,0.00248552
alpha_24,0.11042211,0.03427082,0.00117449
alpha_25,-0.09880990,0.03882464,0.00150735
alpha_26,-1614.28978307,0.00000000,0.00000000
alpha_27,-0.04050408,0.03734471,0.00139463
alpha_28,-0.33884812,0.04713971,0.00222215
alpha_29,0.17683128,0.03269477,0.00106895
alpha_30,0.10675719,0.03379197,0.00114190
alpha_31,0.18760758,0.03275747,0.00107305
alpha_32,-0.53158893,0.05614150,0.00315187
alpha_33,-1.43687465,0.14565013,0.02121396
alpha_34,0.02532096,0.03615268,0.00130702
alpha_35,-0.10486412,0.03897514,0.00151906
alpha_36,0.17725539,0.03278862,0.00107509
alpha_37,0.13563027,0.03333206,0.00111103
alpha_38,0.37923536,0.02954164,0.00087271
alpha_39,0.63922772,0.02753602,0.00075823
alpha_40,0.45948124,0.02869631,0.00082348
alpha_41,0.25051224,0.03170060,0.00100493
alpha_42,0.10835569,0.03393252,0.00115142
alpha_43,-0.55365928,0.05734540,0.00328849
alpha_44,0.13373698,0.03363513,0.00113132
alpha_45,-0.10712224,0.03899771,0.00152082
alpha_46,0.15727576,0.03320695,0.00110270
alpha_47,0.15319065,0.03309632,0.00109537
alpha_48,-0.12511178,0.03962006,0.00156975
alpha_49,0.31866001,0.03066353,0.00094025
alpha_50,0.35336143,0.02992341,0.00089541
"beta_1,2",0.28686858,0.01997833,0.00039913
"beta_1,3",0.37532793,0.01937385,0.00037535
"beta_2,1",0.36117587,0.01943751,0.00037782
"beta_2,2",0.50954544,0.01886064,0.00035572
"beta_2,3",0.58495914,0.01865383,0.00034797
"beta_3,1",0.46753161,0.01898651,0.00036049
"beta_3,2",0.63746097,0.01867576,0.00034878
"beta_3,3",0.67696499,0.01861807,0.00034663
