index,attr_1,attr_2,utility
1,1,1,1.0
1,1,2,1.3322491177913303
1,1,3,1.4554686281948446
1,2,1,1.4350158149185226
1,2,2,1.664534392199471
1,2,3,1.7949176438066108
1,3,1,1.5960496538843094
1,3,2,1.8916717652839214
1,3,3,1.9678960753601216
2,1,1,1.4957595379973783
2,1,2,1.992724324924975
2,1,3,2.1770310828783987
2,2,1,2.1464385923414606
2,2,2,2.4897431934570275
2,2,3,2.6847651856435193
2,3,1,2.3873064929148704
2,3,2,2.8294860856837634
2,3,3,2.9434993245075094
3,1,1,1.312050656613177
3,1,2,1.747978329770441
3,1,3,1.909648569302926
3,2,1,1.882813442214141
3,2,2,2.1839534422405316
3,2,3,2.3550228731230405
3,3,1,2.0940979963661426
3,3,2,2.481969181737377
3,3,3,2.581979337822742
4,1,1,1.383562715137679
4,1,2,1.8432502066511505
4,1,3,2.013732127022972
4,2,1,1.9854343771541803
4,2,2,2.3029877231115465
4,2,3,2.4833811287136003
4,3,1,2.2082347926227284
4,3,2,2.617246523725509
4,3,3,2.7227076371340324
5,1,1,1.1890188485238171
5,1,2,1.5840693119831188
5,1,3,1.7305796323587737
5,2,1,1.7062608518678888
5,2,2,1.979162766341307
5,2,3,2.134190910034019
5,3,1,1.8977331216483584
5,3,2,2.249233384142905
5,3,3,2.3398655255392304
6,1,1,1.1458483388930059
6,1,2,1.5265554386128684
6,1,3,1.6677463099279446
6,2,1,1.6443104878095824
6,2,2,1.907303968332043
6,2,3,2.056703400605553
6,3,1,1.8288308446940928
6,3,2,2.1675689499813813
6,3,3,2.254910449065461
7,1,1,0.07742766835326789
7,1,2,0.10315294285628086
7,1,3,0.11269354224245622
7,2,1,0.1111099285992058
7,2,2,0.128881016881829
7,2,3,0.13897628804608728
7,3,1,0.12357840327630232
7,3,2,0.14646773407564428
7,3,3,0.15236960467668098
8,1,1,0.0
8,1,2,0.0
8,1,3,0.0
8,2,1,0.0
8,2,2,0.0
8,2,3,0.0
8,3,1,0.0
8,3,2,0.0
8,3,3,0.0
9,1,1,1.6906100497801162
9,1,2,2.252313747348717
9,1,3,2.4606298899658836
9,2,1,2.4260521582946577
9,2,2,2.8140785716570633
9,2,3,3.0345058071471027
9,3,1,2.69829758480489
9,3,2,3.1980792972742913
9,3,3,3.326944881926671
10,1,1,1.014989482123339
10,1,2,1.3522188421262975
10,1,3,1.4772853491782518
10,2,1,1.4565259588229524
10,2,2,1.6894849007150279
10,2,3,1.8218225297413155
10,3,1,1.6199736116391696
10,3,2,1.9200269453928698
10,3,3,1.997393818402321
11,1,1,1.3249371177365943
11,1,2,1.765146306233566
11,1,3,1.9284044091965122
11,2,1,1.9013057177245773
11,2,2,2.2054033999742013
11,2,3,2.37815300955969
11,3,1,2.114665428181966
11,3,2,2.5063461363989745
11,3,3,2.6073385540927956
12,1,1,1.392276364608958
12,1,2,1.8548589584720048
12,1,3,2.0264145704655054
12,2,1,1.997938601951122
12,2,2,2.317491892338061
12,2,3,2.4990214118915444
12,3,1,2.222142209845432
12,3,2,2.6337298884029083
12,3,3,2.7398551937306266
13,1,1,1.2004776268751365
13,1,2,1.5993352593326302
13,1,3,1.7472575247665574
13,2,1,1.722704380021678
13,2,2,1.9982362969996688
13,2,3,2.1547584734732714
13,3,1,1.9160219008699189
13,3,2,2.2709096316147424
13,3,3,2.3624152104852136
14,1,1,1.6568350398693095
14,1,2,2.207317020191651
14,1,3,2.4114714226237344
14,2,1,2.37758448492362
14,2,2,2.757858906063648
14,2,3,2.9738824459384525
14,3,1,2.644390991926808
14,3,2,3.1341880646538334
14,3,3,3.260479172477945
15,1,1,1.0449821040927088
15,1,2,1.3921764862852393
15,1,3,1.520938669531977
15,2,1,1.4995658456798708
15,2,2,1.7394086514952813
15,2,3,1.875656816098159
15,3,1,1.6678433255524652
15,3,2,1.9767631415391607
15,3,3,2.056416181465604
16,1,1,0.9603842444167298
16,1,2,1.2794710623648815
16,1,3,1.39780913876116
16,2,1,1.3781665791365831
16,2,2,1.5985926045581496
16,2,3,1.7238106251374687
16,3,1,1.5328209408972657
16,3,2,1.8167317589866603
16,3,3,1.8899363854253783
17,1,1,1.3522071725280442
17,1,2,1.801476812671596
17,1,3,1.9680951184346223
17,2,1,1.9404386776240028
17,2,2,2.250795344051734
17,2,3,2.4271005120524363
17,3,1,2.158189789693266
17,3,2,2.5579321290857058
17,3,3,2.6610031878917453
18,1,1,0.7741141466298572
18,1,2,1.0313128889174157
18,1,3,1.126698855061581
18,2,1,1.1108660429660013
18,2,2,1.2885396205535415
18,2,3,1.3894711401062285
18,3,1,1.2355246157955313
18,3,2,1.4643698742865583
18,3,3,1.5233761910336459
19,1,1,1.0063228251985796
19,1,2,1.3406726960840867
19,1,3,1.464671301912937
19,2,1,1.4440891690734496
19,2,2,1.6750589521983723
19,2,3,1.8062665943142462
19,3,1,1.6061411968540733
19,3,2,1.9036324751889
19,3,3,1.9803387382535944
20,1,1,0.829636795290601
20,1,2,1.1052828886131296
20,1,3,1.2075103283415782
20,2,1,1.1905419218803333
20,2,2,1.3809589787953576
20,2,3,1.4891297218182729
20,3,1,1.3241415199732514
20,3,2,1.5694005010918666
20,3,3,1.6326389934267223
21,1,1,1.1572827236479939e-66
21,1,2,1.5417888876151936e-66
21,1,3,1.684388698221535e-66
21,2,1,1.6607190107668716e-66
21,2,2,1.9263368950103828e-66
21,2,3,2.077227179548344e-66
21,3,1,1.847080690524688e-66
21,3,2,2.1891990527757995e-66
21,3,3,2.2774121299489315e-66
22,1,1,0.001465136773675959
22,1,2,0.0019519271741734324
22,1,3,0.0021324606100999685
22,2,1,0.0021024944412437016
22,2,2,0.0024387705490598066
22,2,3,0.0026297998456608703
22,3,1,0.002338431040518688
22,3,2,0.002771557867041991
22,3,3,0.0028832369067827105
23,1,1,0.6655011254592607
23,1,2,0.8866132872822374
23,1,3,0.9686160101343153
23,2,1,0.9550046398801149
23,2,2,1.1077495113743945
23,2,3,1.1945197120599838
23,3,1,1.0621728409488713
23,3,2,1.258909688795956
23,3,3,1.309637052939023
24,1,1,1.116749362056643
24,1,2,1.4877883523939937
24,1,3,1.6253936620300502
24,2,1,1.602552995851454
24,2,2,1.8588677206101016
24,2,3,2.0044731336652455
24,3,1,1.7823874327860287
24,3,2,2.1125232371013833
24,3,3,2.1976466867521873
25,1,1,0.9059149060792504
25,1,2,1.2069043344180972
25,1,3,1.3185307256124281
25,2,1,1.3000022171941523
25,2,2,1.507926517575066
25,2,3,1.6260426487090551
25,3,1,1.4458851722964243
25,3,2,1.7136936495799535
25,3,3,1.78274638828359
26,1,1,0.0
26,1,2,0.0
26,1,3,0.0
26,2,1,0.0
26,2,2,0.0
26,2,3,0.0
26,3,1,0.0
26,3,2,0.0
26,3,3,0.0
27,1,1,0.9603052464580146
