axis,kind,model,role,metric,value,reference_model,reference_value,paired_delta,ci95_lower,ci95_upper,flagged,semantic_invariance_rate,fidelity_mean,worst_form_fidelity,worst_form,mean_pairwise_flip_rate,mean_prob_spread_across_forms,ownership_keep_both_rate,lambda,eta,d,spearman_utility,spearman_alpha,spearman_beta,log10_cond_jacobian,hard_flip_rate,mean_absolute_probability_gap,mean_probability_gap_negative_minus_positive,classical_flip_rate,probability_monotonicity_violation_rate,hard_choice_monotonicity_violation_rate
surface_form,level,Base,matched local base (context),,,,,,,,,0.09375,0.6625434027777778,0.5,yes_no/endowed_first/normal/p2,0.29043846040189125,0.8793534761605848,0.59375,7.63679813,1.00702456,7.70290751228487,1.0,1.0,1.0,2.109344778499684,,,,,,
surface_form,level,GRPO-qd-seed1-ckpt2000,seed1 frozen-selected checkpoint,,,,,,,,,0.08854166666666667,0.732421875,0.6145833333333334,ab_tk/offered_first/normal/p0,0.2662437204491726,0.8873710368760154,0.25,0.03175071,0.09098552,0.0963663449300351,0.791973125892748,0.7824118738404453,0.9761904761904763,1.9879701590967687,,,,,,
surface_form,level,GRPO-qd-seed2-ckpt6000,seed2 frozen-selected checkpoint,,,,,,,,,0.125,0.7483723958333334,0.6145833333333334,ab_tk/offered_first/normal/p2,0.24715111554373523,0.8432681194566746,0.25,-0.04242123,0.65850618,0.6598711615557278,0.8303440564123943,0.8269016697588125,0.9761904761904763,16.533846482691764,,,,,,
surface_form,level,GRPO-qd-seed1-ckpt30000,"seed1 late endpoint (exploratory, NOT selected)",,,,,,,,,0.20833333333333334,0.7883029513888888,0.625,ab_tk/offered_first/normal/p2,0.224821771572104,0.7966372111885729,0.20833333333333334,0.08956642,0.6627938,0.6688181852417414,0.9132524920414558,0.9413358070500928,0.9285714285714287,17.1304649442212,,,,,,
surface_form,level,GRPO-qd-seed2-ckpt30000,"seed2 late endpoint (exploratory, NOT selected)",,,,,,,,,0.19791666666666666,0.7757161458333334,0.59375,yes_no/offered_first/reversed/p2,0.2285617981678487,0.79276732930679,0.25,4.175e-05,0.78326865,0.783268651112685,0.9169451568600537,0.949016697588126,0.9285714285714287,17.438597477094532,,,,,,
framing,level,Qwen-7B-Base,matched local base (comparator),,,,,,,,,,,,,,,,,,,,,,,0.505072463768116,0.490336982287846,-0.488971589877334,0.5043478260869565,0.24450757575757576,0.005492424242424242
framing,level,Qwen-7B-GRPO-step8000,seed42 step-8000 (EXPLORATORY; not a selected checkpoint),,,,,,,,,,,,,,,,0.11099538,0.50408026,0.5161558707435303,0.839244759188575,0.84295609152752,0.9761904761904763,16.708375101031564,0.6894927536231884,0.6785185913587239,-0.6756750875495547,0.688768115942029,0.25833333333333336,0.006060606060606061
framing,level,GRPO-qd-seed1-ckpt30000,"seed1 late endpoint (exploratory, NOT selected)",,,,,,,,,,,,,,,,0.08956642,0.6627938,0.6688181852417414,0.9132524920414558,0.9413358070500928,0.9285714285714287,17.1304649442212,0.6822463768115942,0.6551583534400552,-0.6513340216005634,0.6804347826086956,0.25700757575757577,0.007765151515151515
framing,level,GRPO-qd-seed2-ckpt30000,"seed2 late endpoint (exploratory, NOT selected)",,,,,,,,,,,,,,,,4.175e-05,0.78326865,0.783268651112685,0.9169451568600537,0.949016697588126,0.9285714285714287,17.438597477094532,0.6869565217391305,0.6691730468317404,-0.6647772889189328,0.6847826086956522,0.2537878787878788,0.010037878787878788
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,semantic_invariance_rate,0.20833333333333334,GRPO-qd-seed1-ckpt2000,0.08854166666666667,0.11979166666666667,0.07291666666666666,0.17708333333333331,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,fidelity_mean,0.7883029513888888,GRPO-qd-seed1-ckpt2000,0.732421875,0.05588107638888884,0.040256076388888944,0.07074652777777779,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,worst_form_fidelity,0.625,GRPO-qd-seed1-ckpt2000,0.6145833333333334,0.01041666666666663,-0.01041666666666674,0.05729166666666663,False,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_pairwise_flip_rate,0.224821771572104,GRPO-qd-seed1-ckpt2000,0.2662437204491726,-0.0414219488770686,-0.05551446143617023,-0.02663683880023639,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_prob_spread_across_forms,0.7966372111885729,GRPO-qd-seed1-ckpt2000,0.8873710368760154,-0.09073382568744248,-0.12377968658559349,-0.060724529987870965,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed1-ckpt30000,,ownership_keep_both_rate,0.20833333333333334,GRPO-qd-seed1-ckpt2000,0.25,-0.04166666666666666,-0.12500000000000003,0.04166666666666666,False,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,semantic_invariance_rate,0.19791666666666666,GRPO-qd-seed2-ckpt6000,0.125,0.07291666666666666,0.03125,0.11979166666666666,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,fidelity_mean,0.7757161458333334,GRPO-qd-seed2-ckpt6000,0.7483723958333334,0.02734375,0.01584201388888884,0.03819444444444442,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,worst_form_fidelity,0.59375,GRPO-qd-seed2-ckpt6000,0.6145833333333334,-0.02083333333333337,-0.046875,0.015625,False,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_pairwise_flip_rate,0.2285617981678487,GRPO-qd-seed2-ckpt6000,0.24715111554373523,-0.018589317375886538,-0.029956343269799006,-0.007004354129728125,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_prob_spread_across_forms,0.79276732930679,GRPO-qd-seed2-ckpt6000,0.8432681194566746,-0.05050079014988462,-0.07513773403769511,-0.027608286098167567,True,,,,,,,,,,,,,,,,,,,,
surface_form,paired_delta,GRPO-qd-seed2-ckpt30000,,ownership_keep_both_rate,0.25,GRPO-qd-seed2-ckpt6000,0.25,0.0,-0.07291666666666669,0.07291666666666666,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,hard_flip_rate,0.6822463768115942,Qwen-7B-Base,0.505072463768116,0.17717391304347818,0.13949275362318847,0.21307065217391294,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_absolute_probability_gap,0.6551583534400552,Qwen-7B-Base,0.490336982287846,0.16482137115220924,0.1353880662677578,0.19267325120670964,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_probability_gap_negative_minus_positive,-0.6513340216005634,Qwen-7B-Base,-0.488971589877334,-0.1623624317232294,-0.1906861361344534,-0.13311437919048622,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,classical_flip_rate,0.6804347826086956,Qwen-7B-Base,0.5043478260869565,0.1760869565217391,0.13876811594202898,0.21196557971014487,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,probability_monotonicity_violation_rate,0.25700757575757577,Qwen-7B-Base,0.24450757575757576,0.012500000000000011,0.000752840909090888,0.025189393939393956,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,hard_choice_monotonicity_violation_rate,0.007765151515151515,Qwen-7B-Base,0.005492424242424242,0.0022727272727272726,-0.0017045454545454551,0.006439393939393939,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,hard_flip_rate,0.6869565217391305,Qwen-7B-Base,0.505072463768116,0.18188405797101448,0.1416666666666666,0.22102355072463767,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_absolute_probability_gap,0.6691730468317404,Qwen-7B-Base,0.490336982287846,0.1788360645438944,0.14576047856892574,0.2101028266336638,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_probability_gap_negative_minus_positive,-0.6647772889189328,Qwen-7B-Base,-0.488971589877334,-0.17580569904159882,-0.20653656265387454,-0.14335372192949133,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,classical_flip_rate,0.6847826086956522,Qwen-7B-Base,0.5043478260869565,0.18043478260869572,0.14057065217391307,0.21956521739130436,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,probability_monotonicity_violation_rate,0.2537878787878788,Qwen-7B-Base,0.24450757575757576,0.009280303030303028,-0.0018939393939393923,0.020459280303030295,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,hard_choice_monotonicity_violation_rate,0.010037878787878788,Qwen-7B-Base,0.005492424242424242,0.004545454545454546,0.0005681818181818184,0.008333333333333333,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,hard_flip_rate,0.6822463768115942,Qwen-7B-GRPO-step8000,0.6894927536231884,-0.007246376811594235,-0.023913043478260843,0.008704710144927548,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_absolute_probability_gap,0.6551583534400552,Qwen-7B-GRPO-step8000,0.6785185913587239,-0.023360237918668703,-0.03517704309292065,-0.010852120877858036,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,mean_probability_gap_negative_minus_positive,-0.6513340216005634,Qwen-7B-GRPO-step8000,-0.6756750875495547,0.024341065948991325,0.011799104378327313,0.036487208814631356,True,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,classical_flip_rate,0.6804347826086956,Qwen-7B-GRPO-step8000,0.688768115942029,-0.008333333333333415,-0.0257246376811594,0.008333333333333304,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,probability_monotonicity_violation_rate,0.25700757575757577,Qwen-7B-GRPO-step8000,0.25833333333333336,-0.0013257575757575912,-0.011557765151515189,0.008716856060606048,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed1-ckpt30000,,hard_choice_monotonicity_violation_rate,0.007765151515151515,Qwen-7B-GRPO-step8000,0.006060606060606061,0.0017045454545454542,-0.0013257575757575752,0.004734848484848485,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,hard_flip_rate,0.6869565217391305,Qwen-7B-GRPO-step8000,0.6894927536231884,-0.002536231884057938,-0.019565217391304346,0.01340579710144929,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_absolute_probability_gap,0.6691730468317404,Qwen-7B-GRPO-step8000,0.6785185913587239,-0.009345544526983551,-0.020437788168444635,0.001478700830213021,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,mean_probability_gap_negative_minus_positive,-0.6647772889189328,Qwen-7B-GRPO-step8000,-0.6756750875495547,0.010897798630621902,-0.00027116808274598174,0.022198121291419605,False,,,,,,,,,,,,,,,,,,,,
framing,paired_delta,GRPO-qd-seed2-ckpt30000,,classical_flip_rate,0.6847826086956522,Qwen-7B-GRPO-step8000,0.688768115942029,-0.003985507246376807,-0.021385869565217396,0.012681159420289911,False,,,,,,,,,,,,,,,,,,,,
