model_name,seed,step,lambda,lambda_se,eta,eta_se,d,consistency,keep_both_rate,trade_both_rate,hard_choice_yes_rate,target_agreement,parse_failure_rate,W_pseudo_utility,n,estimator_cond_proxy,clean_reduction
Qwen-7B-Base-Local,base,0,7.63679813,0.62698434,1.00702456,0.11979881,7.70290751228487,0.006572295247724975,0.993427704752275,0.0,0.003538928210313448,0.5032861476238625,0.0,0.7436,9890,1029.8099703979253,False
Qwen-7B-GRPO-qd-ckpt5000,exploratory,5000,0.22600387,0.019634,0.56584163,0.03601658,0.6093065726676792,0.5927199191102124,0.36046511627906974,0.046814964610717894,0.3538928210313448,0.7081900910010112,0.0,,9890,1024.2153363251964,True
Qwen-7B-GRPO-qd-ckpt8000,exploratory,8000,0.11099538,0.01421005,0.50408026,0.02913343,0.5161558707435303,0.6846309403437816,0.2610717896865521,0.05429726996966633,0.41385237613751263,0.7505055611729019,0.0,,9890,1728.0322388946663,True
Qwen-7B-GRPO-qd-ckpt10000,exploratory,10000,0.1308686,0.01345653,0.65000052,0.02865439,0.6630439400720214,0.7006066734074823,0.2660262891809909,0.033367037411526794,0.4089989888776542,0.7676946410515673,0.0,,9890,958.5298210735587,True
Qwen-7B-GRPO-qd-ckpt12000,exploratory,12000,0.43034764,0.01900894,0.71652039,0.03115729,0.8358232830804139,0.6417593528816987,0.34641051567239634,0.011830131445904954,0.3588473205257836,0.7658746208291203,0.0,,9890,1891.114443807146,False
Qwen-7B-GRPO-qd-ckpt15000,exploratory,15000,0.6726516,0.02271011,0.57628051,0.03203158,0.8857535781403427,0.6394337714863498,0.3540950455005056,0.006471183013144591,0.3509605662285136,0.7788675429726997,0.0,,9890,185.12335997587093,False
Qwen-7B-GRPO-qd-ckpt20000,exploratory,20000,-0.08262746,0.00786329,1.2634412,0.02729511,1.2661401829985064,0.7583417593528817,0.21900910010111224,0.02264914054600607,0.4332659251769464,0.8354903943377149,0.0,,9890,2.0575161623849782e+21,False
Qwen-7B-GRPO-qd-ckpt30000,exploratory,30000,0.59330876,0.01680413,0.8152474,0.02644188,1.0082874629288503,0.7233569261880688,0.2718907987866532,0.0047522750252780585,0.4069767441860465,0.8413549039433772,0.0,,9890,141.25905472636816,False
Qwen-7B,other,-1,11.75192315,1.2218812,1.51782354,0.08521474,11.849535266080439,0.009346733668341708,0.9906532663316583,0.0,0.004824120603015076,0.5045728643216081,0.0,,9950,3330.1221421720606,False
Qwen-7B-GRPO,other,-1,0.1765277,0.00502222,-0.04773904,0.02399583,0.18286892794406492,0.9069767441860465,0.07997977755308393,0.013043478260869565,0.44641051567239637,0.7250758341759352,0.0,,9890,173.44964314036477,False
