seed,step,model_name,lambda,eta,spearman_alpha,spearman_beta,spearman_utility
base,0,Qwen-7B-Base-Local,7.63679813,1.00702456,1.0,1.0,1.0
seed1,200,Qwen-7B-GRPO-qd-seed1-step0200-EXPLORATORY,4.46008682,-0.10293925,0.9951886209029065,0.9523809523809524,0.9951886209029065
seed1,400,Qwen-7B-GRPO-qd-seed1-step0400-EXPLORATORY,4.09425564,0.36703085,0.9969696969696968,1.0,0.9969696969696968
seed1,600,Qwen-7B-GRPO-qd-seed1-step0600-EXPLORATORY,6.09389678,1.23185279,0.9671985157699442,0.9761904761904763,0.9671985157699442
seed1,800,Qwen-7B-GRPO-qd-seed1-step0800-EXPLORATORY,3.65395369,1.44955866,0.9481014223871367,0.9761904761904763,0.9481014223871367
seed1,1000,Qwen-7B-GRPO-qd-seed1-step1000-EXPLORATORY,1.69921951,1.20618879,0.8979344465058751,0.9761904761904763,0.8979344465058751
seed1,1200,Qwen-7B-GRPO-qd-seed1-step1200-EXPLORATORY,1.09473577,0.49174548,0.8450711193568335,0.9761904761904763,0.8450711193568335
seed1,1400,Qwen-7B-GRPO-qd-seed1-step1400-EXPLORATORY,-0.01318815,0.52562326,0.7855782312925169,0.9761904761904763,0.7855782312925169
seed1,1600,Qwen-7B-GRPO-qd-seed1-step1600-EXPLORATORY,0.01514002,0.38797082,0.788299319727891,0.9761904761904763,0.788299319727891
seed1,1800,Qwen-7B-GRPO-qd-seed1-step1800-EXPLORATORY,0.43418109,0.41615509,0.8207915893630179,0.9761904761904763,0.8207915893630179
seed2,200,Qwen-7B-GRPO-qd-seed2-step0200-EXPLORATORY,7.23366027,0.97996806,0.9988373531230674,1.0,0.9988373531230674
seed2,400,Qwen-7B-GRPO-qd-seed2-step0400-EXPLORATORY,6.70015247,0.92460553,0.9988744588744588,1.0,0.9988744588744588
seed2,600,Qwen-7B-GRPO-qd-seed2-step0600-EXPLORATORY,3.92763156,0.38752164,0.9985405071119355,1.0,0.9985405071119355
seed2,800,Qwen-7B-GRPO-qd-seed2-step0800-EXPLORATORY,4.28595228,1.42123241,0.9535312306740878,0.9761904761904763,0.9535312306740878
seed2,1000,Qwen-7B-GRPO-qd-seed2-step1000-EXPLORATORY,0.607236,0.96677787,0.8327767470624614,0.9761904761904763,0.8327767470624614
seed2,1200,Qwen-7B-GRPO-qd-seed2-step1200-EXPLORATORY,-0.06790627,0.50387173,0.7754483611626468,0.9761904761904763,0.7754483611626468
seed2,1400,Qwen-7B-GRPO-qd-seed2-step1400-EXPLORATORY,-0.0570469,0.33141331,0.773234384662956,0.9761904761904763,0.773234384662956
seed2,1600,Qwen-7B-GRPO-qd-seed2-step1600-EXPLORATORY,-0.12975079,0.23962987,0.7593815708101422,0.9761904761904763,0.7593815708101422
seed2,1800,Qwen-7B-GRPO-qd-seed2-step1800-EXPLORATORY,0.56892458,0.5694883,0.8236734693877551,0.9761904761904763,0.8236734693877551
seed42,200,Qwen-7B-GRPO-qd-step0200-EXPLORATORY,4.42627879,-0.02240129,0.9971428571428571,0.9761904761904763,0.9971428571428571
seed42,400,Qwen-7B-GRPO-qd-step0400-EXPLORATORY,4.47454084,0.07648159,0.9984415584415585,1.0,0.9984415584415585
seed42,600,Qwen-7B-GRPO-qd-step0600-EXPLORATORY,4.04443352,0.41066754,0.9985281385281384,1.0,0.9985281385281384
seed42,800,Qwen-7B-GRPO-qd-step0800-EXPLORATORY,6.6990295,1.01455271,0.9987755102040815,1.0,0.9987755102040815
seed42,1000,Qwen-7B-GRPO-qd-step1000-EXPLORATORY,7.74127839,1.11582464,0.9989239332096476,1.0,0.9989239332096476
seed42,1200,Qwen-7B-GRPO-qd-step1200-EXPLORATORY,6.4101865,1.44359205,0.9660358688930116,0.9761904761904763,0.9660358688930116
seed42,1400,Qwen-7B-GRPO-qd-step1400-EXPLORATORY,3.03874003,1.1128704,0.9356709956709955,0.9761904761904763,0.9356709956709955
seed42,1600,Qwen-7B-GRPO-qd-step1600-EXPLORATORY,2.20421868,1.34278261,0.913543599257885,0.9761904761904763,0.913543599257885
seed42,1800,Qwen-7B-GRPO-qd-step1800-EXPLORATORY,1.35411765,1.24030183,0.8762523191094618,0.9761904761904763,0.8762523191094618
